"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," Good morning. My name is Ally, and I will be your conference operator today. At this time I would like to welcome everyone to the World Wrestling Entertainment fourth-quarter and full-year earnings conference call. (Operator Instructions). I would now like to turn the conference over to Mr. Michael Weitz, Vice President of Investor Relations.",NA,NA,NA,"WWE","11-Feb-10","Q4"
"michael weitz","Michael","michael weitz","World Wrestling EntertainmentInc.","VP IR"," Good morning everyone. Welcome to World Wrestling Entertainment's 2009 fourth-quarter and full-year earnings conference call. Joining me for today's discussion are Vince McMahon, our Chairman and CEO; Donna Goldsmith, our COO; and George Barrios, our CFO.  We issued our earnings release earlier this morning and will be referencing a presentation as part of our discussion. These are available on our corporate website at corporate.WWE.com.  We will be making several forward-looking statements today as part of our discussion. These statements are based on management's estimates. Actual results may differ due to numerous factors which are referenced on page one of the presentation. These risks and uncertainties are discussed in more detail in our filings with the SEC.  Reconciliations for non-GAAP financial information discussed on this call can be found in our earnings release or on our website presentation. Today we will review our financial results for the fourth quarter, and we will follow this review with a Q&amp;A session. At this time it is my privilege to turn the call over to Vince.","male","meanwhite",94.363,"WWE","11-Feb-10","Q4"
"vince mcmahon","Vince","vince mcmahon","World Wrestling EntertainmentInc.","Chairman, CEO"," Good morning everyone. I think I can sum up our performance for the year as good, not great but good. Over the quarter I thought we concluded a pretty strong year with a solid performance in this last quarter. It is obscured by some one-time items, bad debt, tax credits, etc., which George or Donna will take you through when you're ready.  We achieved some revenue and profit growth pretty much across our key businesses. Live events one of the barometers, one of the key barometers, for me at least, in determining the strength of where we are, as well as where we are going to be. Live events was up considerably, as well as television and pay-per-view.  We delivered pretty much of a 7% increase in adjusted EBITDA. And again, there is one-time items, which we will go through later on. A 13% increase in adjusted EBITDA for the full year. So that is not bad. We unquestionably fulfilled our commitment to you and to ourselves as far as operation efficiency is concerned. We reduced our expense base by more than $20 million, that was the commitment. Quite frankly it came in almost twice that, so we will pat ourselves on the back for that.  We also had a reduction of headcount of approximately 10%. And we had perhaps more efficient marketing. We even reduced some of our production television costs without our audience realizing it as far as what is on screen is concerned.  Speaking of audience, we increased our total attendance for the fifth consecutive year, which means again very strong, 2.3 million people. Our US television audience as well grew by 800,000 viewers to an average of approximately 16 million viewers per week here in the United States across all of our platforms.  RAW, by the way, which is one of our key programs, had its largest weekly increase in average since 2001. And it is more recently about an 11% increase in household ratings. That is the against, as you all know, in terms of television, other than the National Football League, just about every show on television -- reoccurring show has lost a great deal of audience, not because of the lack of quality in their shows necessarily, but because there are just lots of things to do out there, many more networks, many more ways to attract your attention, so we're pretty proud of that.  So we have along those lines strengthened our global television platform as well. We added as well as domestically, we double WGN to our lineup out of Chicago, with a new show we call WWE Superstars. And when we create a new show it is important to know that we take that new show -- as far as international is concerned, you make it once over here, and then from there you distribute on a global basis, and if you make it once, that is making money.  So we -- as well as international, as far as Mexico is concerned that has been a huge market for us. The UK continues to be strong. China, for argument's sake, which is not that much now, down the line we, as well as other USA enterprises, will be working with China a little more efficiently as far as live events, and an expanded broadcasting platform for us.  We are about anywhere from -- we are in about 55% of their free cable TV homes and about 22% of their total free TV households, reaching about 90 million TV households a week. So that is a start. It is a really strong start. Our strategy there is to work, as opposed to a global -- or rather a national platform, it is more of a syndicated platform -- the old syndicated platform back over here, in terms of we do business via provinces and local television, which pretty much keeps us under the radar of a more national scrutiny.  Again national will come with us as we go forward. We want to make sure we walk before we run and do the right things over in China with their unique culture. It is important for us obviously to be sensitive to the relatively unique cultures of some of our international partners.  Our licensing business with Mattel, it is a brand-new ball game with Mattel for us, which I will talk about a little more detail here in a moment. Another thing we have done is we have finally resolved our litigation with THQ-Jakks as video games are concerned. Jakks is out of the question. It is now just THQ and WWE, with Jakks out of the question. We have extended our contract, and far more favorable terms than we have in the past. That is a really good thing for us.  As far as Mattel is concerned, we have had a really, really strong launch. We are led by the big four of course back over here in the US, Wal-Mart, Target, (technical difficulty) Toys ""R"" Us, rather. We -- preliminary retail data unquestionably has us outpacing by a large margin last year.  We have four items in Wal-Mart's top 100, which actually does say quite a bit, because Wal-Mart has a lot of items. It is something we have never achieved before, just to give it some relevance to WWE. So we have never achieved that in the past. So again it speaks to the strength of where we are with Mattel, as well as other aspects with Wal-Mart, etc.  We have also renewed partnerships -- television partnerships, with again a number of individuals and partnerships as far as business as well is concerned. Which I mention THQ and a new relationship with Mattel. By the way, the relationship with Mattel and others now, it is not just about selling toys. It is about a partnership. It is about relationships which can be leveraged and across-the-board.  We fit Mattel extremely well because they are truly international, as are we. So being able to combine the resources from an international standpoint really makes a lot of sense, especially given sensitivities in the marketplace. So they are a true partner with us in terms of marketing, in terms of governmental constraints, things of that nature. We have never had that before, so that is a really big thing with us.  They are a very strong company, and we really enjoy working with them as well. So from an overall business outlook just a couple of things of note. We have a new member of the Board of Directors, Basil DeVito, who has been with WWE on and off for like, I don't know, 25 years or so. A very knowledgeable individual, and he was accepted by the Board in general unanimously, so we are proud of Basil joining our Board.  Looking ahead, we are unquestionably confident we can achieve our financial objectives with an annual average earnings growth of about 15% to 20% over the 2009 to 2012 period. And again, that is not -- I mean, that is pretty strong. It is not huge, but again it shows strength going forward with our Company.  We feel confident that we can manage our cost as well, improve our operating efficiency, as we have demonstrated in the past, actually very shortly in the past. We are confident of going forward with our television contract renewals, because again, just as ratings have increased over here, and audiences have increased here likewise with a better product, which is something we always strive to do, reinventing yourself, which we unquestionably have done, every year, which is important for entertainment companies. And again, I mention the strength of of some of our licensing partners, Mattel and others, and working closely together as a partnership.  So we feel that we are unquestionably -- and will outpace our industry peers and create a great deal of shareholder value going forward. So that is pretty much my comments. George, I will throw it over to you.","male","meanwhite",84.782,"WWE","11-Feb-10","Q4"
"george barrios","George","george barrios","World Wrestling EntertainmentInc.","CFO"," From a financial perspective WWE performed well in the fourth quarter, capping off a strong year for the Company. In the fourth quarter revenue from a number of our businesses exceeded or matched the prior year, including strong growth in revenue and profits from our live events and television distribution.  Our bottom-line results for the fourth quarter of both 2009 and 2008; however, include certain items which we would characterize as unusual or one-time in nature. Specifically, the fourth quarter 2009 included a $6.4 million increase in bad debt reserves associated with the write-down of a receivable due from a prior business partner.  In addition, the quarter included $5.8 million of tax credits related to our television and digital media production, which were recognized as a reduction of expense in these areas. The fourth quarter 2008 included the recognition of a $6.4 million advance related to a multiyear book publishing contract.  To clarify the trends in our business I will discuss our performance on an adjusted basis, excluding the impact of these one-time items. For further discussion, please refer to the website presentation or our earnings release, both of which include supplementary schedules outlining these items and their impact on our financial results.  On an adjusted basis our profit contribution was essentially flat to the fourth quarter last year. Increased profits from our live and televised event segment was offset by the decline in our home video business.  Adjusted EBITDA increased 7% over the prior-year quarter, based on a $1.2 million reduction in SG&amp;A expenses coming from various expense categories. For a more detailed review of our performance in the quarter, let's turn to page 6 of our presentation, which identifies the adjusted revenue and adjusted profit contribution by business unit as compared to the prior year.  Starting with our live events, including merchandise sales at these events, revenue increased $4.8 million or 17% from the prior year. The growth was led by an increase in the number of domestic events, as well as favorable changes in foreign exchange rates.  In North America the addition of 10 events more than offset a 4% decrease in average attendance to 6,600, and a 7% decline in average ticket prices to $35.48.  Our international performance reflected a 17% increase in effective ticket pricing that benefited from changes in foreign exchange rates, and a 2% rise in average attendance to 8,500.  Turning to our pay-per-view business, revenue increased 3% to $16.3 million from the fourth quarter last year, reflecting a 14% increase in international buys and a benefit from foreign exchange. These factors more than offset a decline in our domestic pay-per-view buys. Overall pay-per-view buys increased slightly over the fourth quarter last year. As noted in previous calls, we continue to work on stabilizing and improving our pay-per-view performance.  It is important to us that three of our four pay-per-view events produced in the quarter demonstrated growth in buys over the prior-year, both domestically and internationally. In order to promote our events more effectively we have reduced the number of pay-per-view events in 2010 from 14 to 13 events. In addition, we have increased the price of our non-WrestleMania events from $39.95 to $44.95.  Revenues from the distribution of our television programming increased by 10% or $2.8 million due to higher rights fees from our global television contracts, and the addition of our new WWE Superstars television show. The new program debuted on WGN America on April 16, 2009.  In our Consumer Products segment our licensing revenue on an adjusted basis declined slightly with lower domestic sales of toy products. As Vince mentioned, our new launch with Mattel has been very positive. Based on a preliminary sample of retail sales data, we believe that WWE toy sales to date are outpacing the prior year.  Our home video revenue declined 31% or $4.6 million as a 6% increase in DVD shipments to 940,000 units was offset by the impact of continued incentive programs and promotional offers. These practices resulted in an effective 14% reduction in our DVD pricing.  Although DVD shipments declined 14% for the full year, this was the second consecutive quarter that demonstrated year-over-year growth in unit shipments. We are hopeful that this is an indication that the adverse trends observed in the early part of 2009 will improve in the 2010 year.  As a reminder, consistent with our efforts to develop strong business partners, we transitioned our home video distribution to Vivendi Entertainment in September of 2009.  In our magazine publishing business revenue remained relatively flat, as increased news stand sales were offset by lower advertising and subscription performance. Notably reductions in editorial distribution costs contributed to increases in both magazine profit and margins.  In our digital media segment revenue declined 3% to $10.6 million, led by a decline in our WWEShop e-commerce business. This business saw an 8% decline in the average revenue per order to about $53. In contrast, the number of online purchases increased 3% to 123,000 orders. Online advertising was essentially flat for the fourth quarter last year.  In our film business, WWE Studios recognized revenue of $0.2 million primarily from our direct-to-dvd film, Behind Enemy Lines - Colombia, which was released in January of 2009. This compared to $5 million in the prior-year quarter primarily from our feature film, The Marine. Earlier this year we released our fourth feature film, 12 Rounds. And during the fourth quarter we released the direct-to-dvd film, The Marine 2.  We do not participate in revenues generated by these films until their distribution costs are recouped by our partners. As such, we have not recorded revenues for either 12 Rounds or The Marine 2. As of the quarter end we had an approximately $37 million in capitalized film production costs on our balance sheet associated with 12 Rounds, our direct-to-video releases, and the initial films that are being produced under our new distribution model. The first project to be distributed under this new model is expected to be released in the third quarter of 2010.  Now let's look at the overall results across all of our business units. As I indicated earlier, our adjusted profit contribution was essentially flat for the fourth quarter last year. Increased profit from our live and televised event segment were offset by the decline in our home video business.  Page 15 of our presentation compares the quarter-over-quarter results and provides a summary of changes by business. Adjusted operating income increased 9%, and adjusted EBITDA increased 7% over the prior-year quarter, driven by a $1.2 million reduction in our SG&amp;A expenses.  SG&amp;A expenses declined 4% to $28.2 million as reductions in various expenses exceeded the increase in accrued management incentive compensation during the quarter. Net income was $11.2 million compared to $13.6 million in the prior-year quarter, reflecting the increase in bad debt reserves. The effective tax rate was 36% compared to 38% in the fourth quarter last year.  For the full year on an adjusted basis operating income and EBITDA increased 13%, while revenue declined 9%. Revenue reflected the ongoing challenges to our consumer products business and difficult trends in our video game, toy licensing and home-video businesses. The increased earnings reflected improved operating efficiencies, led by significant reductions in marketing and television production expenses.  Adjusted EBITDA margins improved from 16% to 20%. Entering the year we communicated clear goals for improving our profitability. These results demonstrate how we have fulfilled that commitment, reducing our expense base by considerably more than the $20 million goal, while the earnings release in our website presentations identify and demonstrate the impact of various items which impact comparability over the full year periods.  In 2009 these included $8.3 million in cash credits associated with our television and digital media production, $7.4 million in bad debt reserves related to a receivable due from a prior business partner, and a $2.2 million restructuring charge associated with our 10% staff reductions in January 2009.  In addition to these items, changes in foreign exchange rates reduced full-year profit contribution by approximately $3 million. Page 16 of the presentation contains our balance sheet, which remains strong. On December 31 we held $230 million in cash and investments, with virtually no debt.  Page 22 shows our free cash flow. For the full year we generated approximately $110 million of free cash flow, compared to nearly $10 million in the prior year. The increase was driven by favorable changes in working capital, including a $13.2 million advance from a business partner and an $11 million federal tax refund.  Capital expenditures were $5.4 million for the current year, as compared to $26.3 million in the prior year, which included an approximate $9.5 million investment in high-definition broadcasting equipment, and $3.9 million with respect to our planned media center initiative.  Our strong cash flow demonstrates that the Company's business model remains strong. As we begin the new year our mission remains unchanged. That is to create value by capitalizing on our growth opportunities and maintaining our focus on productivity. We are confident that we can achieve meaningful earnings growth which averages 15% to 20% over the 2009 to 2012 period. As shown on page 17 of our presentation, this range remains relevant across alternative earning measures, including net income, EBITDA, and adjusted EBITDA.  In our last earnings call I outlined some of the key elements of our business model, which reinforces our confidence in delivering on these estimates. These include an assumption of modest revenue growth, the status of our television contracts, and the strength of our new partner Mattel.  In addition, we have enhanced our business model by affirming relationships with industry-leading partners such as Mattel, Vivendi and THQ. We believe with their expertise and commitment to WWE, we can develop innovative products and further extend the reach of our distribution. As such, they increase our faith in realizing our goals.  Further, the performance of key metrics in the fourth quarter provides evidence that we are making progress in stabilizing our pay-per-view, licensing and home-video businesses, and perhaps gaining some topline momentum. We are well-positioned to drive greater profit as revenue growth returns. That concludes this portion of our call. I will now turn it back to Michael.","male","meanHispanic",89.54,"WWE","11-Feb-10","Q4"
"michael weitz","Michael","michael weitz","World Wrestling EntertainmentInc.","VP IR"," Ally, we are ready now. Please open the line for questions. Questions and Answers","male","meanwhite",94.363,"WWE","11-Feb-10","Q4"
"operator","Operator","NA NA",NA,NA," (Operator Instructions). Richard Ingrassia.",NA,NA,NA,"WWE","11-Feb-10","Q4"
"richard ingrassia","Richard","richard ingrassia","Roth Capital Partners","Analyst"," No fault of yours, obviously, but a more aggressive effort to sell toys and other products overseas is overdue. So I expect there is a lot of latent demand there. I know you don't give guidance, but maybe some order of magnitude of the impact you think Mattel would have on that line. Are we talking 10%, 25%, 50% or more?","male","meanwhite",93.697,"WWE","11-Feb-10","Q4"
"donna goldsmith","Donna","donna goldsmith","World Wrestling EntertainmentInc.","COO"," It is Donna Goldsmith here. I think that Mattel is going to make improvements across-the-board. Let me explain that. It is not only in terms of the amount of product that you're going to see on shelves and the quality of that product, but it is also the distribution of that product relative to international and domestic. Because their reach and their relationship so overpower any other toy company out there, they are simply number one.  That, coupled with a better financial contract for us, means that we are going to see tremendous growth. And, no, we don't give guidance, as you said. But we are looking at numbers that are going to exceed previous year's numbers for sure.","female","meanwhite",87.0415,"WWE","11-Feb-10","Q4"
"richard ingrassia","Richard","richard ingrassia","Roth Capital Partners","Analyst"," Better sales and a better cut.","male","meanwhite",93.697,"WWE","11-Feb-10","Q4"
"donna goldsmith","Donna","donna goldsmith","World Wrestling EntertainmentInc.","COO"," You got it.","female","meanwhite",87.0415,"WWE","11-Feb-10","Q4"
