"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," [OPERATOR INSTRUCTIONS] I would now like to turn the call over to the Vice President of Investor Relations for WWE, Michael Weitz. Please go ahead, sir.",NA,NA,NA,"WWE","13-Jun-06","Q4"
"michael weitz","Michael","michael weitz","World Wrestling Entertainment Inc.","VP, IR, Financial Planning"," Thank you, welcome to World Wrestling Entertainment's fourth quarter conference call. My name is Michael Weitz, Vice President of Investor Relations and Financial Planning at World Wrestling Entertainment. Here with me today are Linda McMahon, our CEO and Michael Sileck, our CFO. We issued our earnings release earlier this morning and will be referencing a presentation as part of our discussion. These are available on our corporate website at corporate.wwe.com. We will be making several forward-looking statements today as part of our discussion. These statements are based on management's estimates, actual results may differ due to numerous factors. As called out on page one of the presentation and in our earnings release. Today we will review our operating highlights and fourth quarter results followed by a Q&amp;A session. At this time I would like to turn it over to Linda.","male","meanwhite",94.363,"WWE","13-Jun-06","Q4"
"linda mcmahon","Linda","linda mcmahon","World Wrestling Entertainment Inc.","CEO"," Thank you, Mike. Good morning, everyone. I'm pleased that we completed the year with outstanding performance coming from across our businesses. Our strong financial performance and the growth in our key drivers underscores the fundamental operating strength of our business. In short, our company is strong and getting stronger. During the year, we made significant progress on our key strategic initiatives. We strengthened our television platform both domestically and internationally. We successfully transitioned RAW to the USA Network, positioned SmackDown on the CW Network's fall prime time programming lineup, and extended our international television distribution to new markets such as Argentina, Brazil, and other Latin-America countries. The CW has confirmed SmackDown's position in the fall prime time programming schedule based on the CW's upfront presentation, SmackDown will remain on Friday nights at 8:00 p.m. We expect the combination of UPN and the WB Network will result in increased SmackDown viewers, reflecting the expanding reach and better channel position of the new network, which in turn should drive other long-term benefits to our business. During the year, we also delivered profitably across our businesses. While we achieved impressive growth in our key drivers, event attendance, home video sales, licensing revenue, and Internet traffic, we also continued to focus on bottom line performance. Our home video performance, for example, more than doubled its revenue from last year while increasing its profit margin by several percentage points. The business achieved nearly a 50% increase in gross units shipped demonstrating our successful efforts to monetize our video library and to expand our distribution. Two retrospective titles, The Tombstone and Bret Hart DVDs shipped more than 400,000 units combined over the year, and 3 others each exceeded the 120,000 mark. In addition, the creative packaging of multi-disk titles increased the average price of our DVDs by about $4 to almost $16. In the future we plan to continue building on these initiatives which contribute to the revenue growth and improved margins of this business. Similarly, our licensing business achieved more than 50% growth in revenue and improved its profit margin 4 percentage points. We are pleased with the continuing strong sales of our video games and toys and their growing popularity in international territory. Our live event business also provides another example of our focus on both revenue growth and profitability. Average attendance to our live events increased for the fifth consecutive quarter resulting in a 19% increase in average attendance to our North American events for the full year. At the same time we managed to improve the profit margin of our North American live events by 4 percentage points. Similarly, we increased the number of international events to 52, versus 49 in the prior year and extended their reach to various new territories such as the Philippines and New Zealand. Our fourth quarter included our largest and most profitable European tour to date. Over 125,000 fans attended the tour coming to events in 5 countries. We also positioned the Company for continued success by further developing our long-term growth opportunities. We increased our investment in our emerging dot com and wireless platforms and further expanded our 24/7 subscription video on demand offering. We believe our website and wireless initiatives have strong growth potential. While we are in the early stages of developing a wireless platform, we are accelerating our efforts in this area. We expect to announce several content deals for this platform in the near future. We are very pleased that our 24/7 offering has recently secured distribution with Comcast. The country's leading provider of cable service. Comcast will launch WWE's 24/7 On Demand service this summer to over 10 million potential subscribers throughout their systems. This will extend the reach of our 24/7 service to over 50% of the country's VoD enabled homes. We're also very excited about the launch of ECW as a complementary brand to our RAW and SmackDown franchises. After three successful DVD releases and a very profitable pay-per-view event last year, which has generated over 335,000 buys, we believe there is strong consumer demand for this unique form of entertainment. The development of a new franchise provides a vehicle to further develop our superstar talent and increases our international touring capabilities. Additionally, our portfolio brand approach allows us to efficiently exploit a full line of products, which will include live events, television programming, pay-per-view events, license and consumer goods, and further distribution on our digital media platforms. The ECW launch was initiated this past Sunday with a highly entertaining pay-per-view event and one hour live events will begin airing on the SCI FI channel on Tuesday nights with their debut tonight at 10:00 p.m. Just to repeat, that's SCI FI network 10:00 tonight. We expect that the venture will achieve at least break-even results this calendar year and should build value over the long-term. Before concluding, I would like to provide you with a brief update regarding our feature film strategy. See No Evil, our first feature film starring WWE's superstar, Kane, was released May 19, and has achieved over 14 million in gross domestic box office receipts to date. This performance is squarely in line with management's expectations. We're very proud of our film divisions debut offering, which has proven WWE's ability to open a solid theatrical release. Going forward we expect to maintain our conservative approach to the film business, producing only a few films per year with moderate budgets and always with a distribution partner. Consistent with that strategy, The Marine, starring John Cena and distributed by FOX is targeted for release in October and as previously announced we have just started production on The Condemned, a film starring Stone Cold Steve Austin with a budget of approximately $20 million. Looking forward, we're very excited about the opportunities represented by our strategic initiatives. The creation of a new ECW franchise and the development of a broadband and mobile platforms have the potential for growth. This potential is strengthened by our marketing savvy, including our creativity in producing feature films. We believe pursuing these initiatives while sustaining our dividends will build enduring value for our shareholders over the long-term. At this point I'll turn it over to Mike Sileck, our CFO.","female","meanwhite",92.947,"WWE","13-Jun-06","Q4"
"michael sileck","Michael","michael sileck","World Wrestling Entertainment Inc.","CFO"," Thank you, Linda. Before I discuss our results for the fourth quarter, I would like to briefly review two changes to our financial reporting. First, as indicated in our Q4 earnings release, our Board of Director has elected to change the Company's fiscal year-end to a calendar basis beginning with calendar year 2007. The change is intended to simplify our communication and will enable us to report our financial reports in a time frame consistent with the majority of our media and entertainment industry peers. Accordingly we will establish an eight-month transition period from May 1, to December 31, 2006 and have provided guidance for this period. During the transition, we will continue to file quarterly Form 10Q reports under our current fiscal reporting schedule. Namely for our July and October quarter ends. These will be followed by the filing of a 10-K for the May through December period. We view the change in fiscal year end as a positive change for the Company and for our shareholders. Secondly, we are changing our segment reporting structure to reflect the creation of two new segments. Namely digital media and feature films. This change serves to underscore management's focus on the growth of our digital media businesses, including online advertising, eCommerce via our WWE Shop website, and wireless initiatives, as well as to highlight our feature film activities. Concurrent with the addition of these segments, we are also moving the sale of merchandise at our live events to the live and televised entertainment segment and are renaming the branded merchandise segment as consumer products to reflect the new set of businesses comprised by this segment, principally licensing, home video, and publishing. For comparison purposes, prior periods as shown in our press release and website presentation have been recast using the revised format. Overall, these changes should provide greater understanding of our businesses and should be perceived as part of our broader continuing effort to improve the communication with our shareholders. As Linda mentioned, our results for the fourth quarter capped off a very strong year. Our revenues for the quarter were 114 million as compared to 118 million in the prior year quarter. And operating income was 15 million compared to 23 million in the prior year quarter. The decline's primarily reflect the absence of approximately 10 million in domestic cable advertising revenue and 6 million in related profit as a result of our TV deal with the USA Network. Excluding the impact of the USA deal, revenue increased 5%. Led by revenue growth from our licensing and home video businesses. Operating income also reflected increased marketing to promote our pay-per-view events and our brands worldwide as well as increased investment in our digital media initiatives. Page 5 of our presentation lists revenues and profit contribution by business unit as compared to the prior year. Revenues from live events including merchandise sales at these events declined by $2 million due to the impact of tours and emerging international territories, such as Thailand, the Philippines, and New Zealand. Events in these territories had lower revenues compared to other international markets. Each of these tours was structured as a buyout where the local promoter took all of the risk related to ticket sales and guaranteed WWE a fixed amount. As we've discussed in previous calls, strategic buyout deals like these allow us to enter new untested international markets virtually risk free. As we continue to expand internationally and venture into new markets, we expect to structure more of these types of deals. This quarter's results reflected 24 international events as compared to 23 in last year's fourth quarter. As Linda mentioned, the 16 event European tour was the most profitable international tour to date. Our North American events continued to outperform the prior year. Average attendance increased for the fifth consecutive quarter to 6200 driving a 5% increase for the quarter and a 19% increase to 5,000 for the full year. There were 56 North American events in the quarter verses 53 in the prior year quarter. Pay-per-view revenues increased slightly reflecting 2 million in incremental revenue from Backlash, which did not air in the same quarter last year. Excluding the impact of this event, revenues were down slightly. Our premier pay-per-view event, WrestleMania achieved approximately 925,000 buys by fiscal year end and is on track to deliver nearly 1 million buys. Royal Rumble and No Way Out, which aired in both this quarter and the year ago quarter were essentially flat. For the full year, buys for the 14 events which aired in both fiscal 2006 and 2005 were up 11%. As pointed out in previous earnings calls, our average revenue per buy is lower this year as a greater percentage of our buys are coming from international sources, which command a lower price per buy. International buys currently comprise 39% of total buys as compared to 34% in the prior year. International growth continues to be driven by the United Kingdom, Italian, and Australian markets. Our consumer products businesses previously referred to as our brand and merchandise segment continued to deliver strong results with revenue increasing 28% compared to the year ago quarter. These results were driven by our licensing and home video businesses. Licensing revenues increased more than 60%, reflecting continued strong sales of our SmackDown vs. RAW video game as well as higher revenues from the toy category. SmackDown vs. RAW 2006, which was released in November has sold nearly 2.9 million units to date. Home video revenue increased by nearly 40% over the prior year quarter. This growth reflected the release of several multi-disk titles led by the WrestleMania anthology. These titles increased the average price of our DVDs by 4.20 to approximately $16. Additionally, gross units shipped increased by 35% or 150,000 units. Our new digital media segment comprising online advertising, eCommerce, and wireless businesses delivered impressive results with revenue growth of 71% compared to the year ago quarter. Revenues from the sale of merchandise on our Internet-based store front WWEshop.com more than doubled compared to the prior year. With orders processed increasing by approximately 100% to 56,000 orders. Along with the large volume increase, the average sales per order also increased by approximately $5, up to now $51 average order size. As we have discussed previously, we are in the process of implementing a strategy to leverage and monetize our high level of Internet traffic. For the quarter, we average 14.5 million unique visitors and over 55 million video streams per month. Compared to approximately 13.5 million unique visitors and 47 million video streams per month last quarter. Our profit contribution margin for the quarter was 38% compared to 43% in the prior year. The 5 percentage point decrease versus last year quarter primarily reflects the absence of high margin cable add sales as well as the impact of increased investment in our strategic initiatives. Also impacting our margin were expenditures for certain marketing initiatives to support our pay-per-view events and various product lines and brands. These programs helped sustain and expand our customer base, which is the foundation of our existing and emerging businesses. Our SG&amp;A expenses were $24 million in the current quarter, down slightly compared to last year. EBITDA for the quarter was $18 million versus $25 million in the prior year. A decrease of about 30%. Page 14 of our presentation provides the details of this decrease. As is our practice, page 15 shows a normalized EBITDA adjusting for those items we consider to be unusual. The current quarter includes the impact of legal settlements, which reduced EBITDA and operating income by 1.3 million and decreased earnings per share by about $0.01. It should also be noted that our effective tax rate increased from last year's quarterly and full year rates. The prior year included tax benefits related to state taxes that resulted in a lower 33% tax rate for both the quarter and the full year. The higher current year rate reflects additional provisions for state and local taxes, as well as for losses on investments. These additional provisions resulted in an effective tax rate of 40% for the full year. Without these additional provisions, in fiscal 2006, our full year tax rate would have been approximately 37%. Looking ahead to the future, we expect our effective tax rate will be -- will approximate 37%. Page 17 of the presentation contains our balance sheet which has improved since April of last year. On April 30, we held $281 million in cash and short-term investments, up from 258 million at the end of fiscal 2005 with virtually no debt. It is also noteworthy that the current year's cash balance has not changed since last quarter demonstrating that in the quarter the Company was able to fund its dividend without impacting its cash reserve. We have recorded 36 million in feature film production assets for our latest movie See No Evil, The Marine, and The Condemned. These assets will be amortized on a pro rata basis as revenues are recognized in accordance with GAAP, or generally accepted accounting principals. As we have stated in past calls, we do not anticipate seeing any revenues from these movies until at least the end of calendar year 2006. For the quarter we generated $12 million of free cash flow, more than double the amount generated in the year ago quarter. The increase reflects strong cash flow from our operations and reduced working capital requirements, including changes in the timing of some cash receipts. In addition, we spent $2 million in the production of our feature films compared to $6 million spent in the prior year. Transition period outlook. As mentioned earlier in this call, we are changing the Company's fiscal year to a calendar basis beginning with the 2007 calendar year. Consistent with this decision, we are providing guidance on the 8-month transition period from May 1, through December 31, 2006. The Company's outlook for the May to December transition is shown on page 18 of our presentation. And for your reference, WWE's financial results for the 2004 and 2005 calendar years as well as for the year to date 2006 period are all shown on page 19 of the presentation. As you review and analyze our transition period guidance you should keep in mind the growth we experienced in the May through December 2005 period. Revenue increased 17% and earnings per share increased 115% on a year-over-year basis. The outlook for the transition period anticipates modest revenue growth from the $248 million in the comparable 2005 period. Growth from consumer products and digital media is expected to more than offset the elimination of approximately $15 million in domestic cable advertising sales. As a result of anticipated investments, net income and earnings per share are expected to be essentially even with the comparable 8-month-period last year which were $30 million and $0.43 per share respectively. These results reflect investment to support our digital media businesses, the launch of ECW and other strategic initiatives. We believe flat bottom line performance against a relatively high base period given the absence of $9 million in profits from the domestic cable ad sales and our increased investments, all of this represents a very appropriate target. The Company is very proud of its financial and operational performance this year, and it looks forward to even better performance in the years to come. Finally, but importantly, we would like to thank all of the WWE employees for the good hard work over the past year. That concludes the portion of our call. And I'll now turn it back to Michael Weitz.","male","meanwhite",94.363,"WWE","13-Jun-06","Q4"
"michael weitz","Michael","michael weitz","World Wrestling Entertainment Inc.","VP, IR, Financial Planning"," At this point, I would like to open the call to questions.Questions and Answers","male","meanwhite",94.363,"WWE","13-Jun-06","Q4"
"operator","Operator","NA NA",NA,NA," Yes, sir. [OPERATOR INSTRUCTIONS] We'll go first to the site of Michael Kelman of Susquehanna Financial Group. Please go ahead.",NA,NA,NA,"WWE","13-Jun-06","Q4"
"michael kelman","Michael","michael kelman","Susquehanna Financial Group","Analyst"," Thanks very much. I've got two questions. First one's for Mike Sileck. Mike, on slide 13 it talks about a $2.3 million impact on revenue from the other pay-per-view events, but on the slide regarding EBITDA talks about a $5.6 million impact on EBITDA. Can you reconcile the difference and specifically address what the incremental $3.3 million was for costs?","male","meanwhite",94.363,"WWE","13-Jun-06","Q4"
"michael sileck","Michael","michael sileck","World Wrestling Entertainment Inc.","CFO"," Yes, Michael. Specifically, what that referenced is the additional marketing dollars that we spent both domestically and internationally to specifically support our pay-per-view activities and WrestleMania. So that is why those marketing costs were charged specifically against the pay-per-view line, and therefore, impacted profits.","male","meanwhite",94.363,"WWE","13-Jun-06","Q4"
"michael kelman","Michael","michael kelman","Susquehanna Financial Group","Analyst"," We expect, traditionally, pay-per-view has been about a 60% gross margin business. And obviously in the current quarter is more like in the low 40% range. What's a good margin to assume going forward? Do we expect continued stepped up marketing at pay-per-view?","male","meanwhite",94.363,"WWE","13-Jun-06","Q4"
"michael sileck","Michael","michael sileck","World Wrestling Entertainment Inc.","CFO"," You know what, we'll look at that on an ongoing basis. Branding is -- spending of marketing for branding is important to us, but I think if you were to think about it, this would be a bit of an anomaly in that quarter. And that going forward, I don't think we would have that level of an investment on an ongoing basis. So if it's not 40 it's probably more in the 50% range or so looking forward. That's our kind of view at this moment.","male","meanwhite",94.363,"WWE","13-Jun-06","Q4"
