"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," Good day. All sites are online in a listen-only mode. Please note this call may be recorded. At this time I'd like to turn the program over to your moderator, Mr. Wayne Rappaport. Please go ahead, sir.",NA,NA,NA,"WWE","2-Mar-06","Q3"
"wayne rappaport","Wayne","wayne rappaport","World Wrestling Entertainment Inc. - Director","Director - Planning and Analysis"," Thank you. Welcome to World Wrestling Entertainment's third quarter conference call. My name is Wayne Rappaport, Director of Planning and Analysis at WWE. Here with me today are Linda McMahon, our CEO, and Michael Sileck, our CFO. Unfortunately, Linda overnight has developed laryngitis, and although here, will not be speaking. She had some prepared remarks that Mike will read. We issued our earnings release earlier this morning and will be referencing the presentation as part of our discussion. Both are available on our corporate website at corporate.wwe.com. We will be making several forward-looking statements today as part of our discussion. These statements are based on management's estimates, actual results may differ due to numerous factors as called out on page 1 of the presentation, and in our earnings release. Today we will review our operating highlights and third quarter results followed by a Q&amp;A session. At this time, I would like to turn it over to Mike.","male","meanwhite",90.478,"WWE","2-Mar-06","Q3"
"michael sileck","Michael","michael sileck","World Wrestling Entertainment Inc.","CFO"," Thank you, Wayne. And good morning, everyone. I want to first apologize on Linda's behalf. It's unfortunate that she has developed a case of laryngitis overnight, but she is with us here physically, and will be whispering things throughout the call. I am pleased to say that we had another great quarter. Our financial performance was outstanding and our key drivers continued to surpass our expectations. We believe that this performance was in part impacted by our highly successful move to the USA Network, and the excitement and buzz it has generated. We look forward to this excitement and buzz continuing into our fourth quarter, and intensifying as we promote WrestleMania 22, our sold out premier event in Chicago, on April 2nd. The overall live event business has been trending upward since the fourth quarter of the last fiscal year. In the quarter we completed our largest international tour to date. A 15-event tour through Europe. Over 110,000 fans attended the tour in 5 countries, culminating with 2 TV events produced in the UK. The success of this tour demonstrated our continued strength abroad. Our increased touring has supported international growth in the other areas of our business, such as pay-per-view and Branded Merchandise. Our domestic events performed well in the third quarter. Our North American attendance continues to trend upward in 2006, with average attendance up 30% from the prior-year quarter, and up nearly 20% for the first 9 months of the fiscal year. The positive trend in live event attendance is demonstrated by the success of our recent non-televised event at Nassau Coliseum area on Long Island. The event sold out with over 14,000 in paid attendance. Pay-per-view buys have outpaced last year. Excluding the additional pay-per-view event in the quarter, buys were up 6%. The buys for Taboo Tuesday, which aired in the second quarter of fiscal 2005 and the third quarter in fiscal 2006 increased by 24% over last year. RAW's ratings continue at their high levels, with a weekly audience of approximately 5.5 million viewers, up 20% since leaving Spike TV. RAW's consistently strong performance on basic cable helped established USA Network as the top rated basic entertainment network for the fourth quarter of calendar 2005. SmackDown! is seen by approximately 4.8 million viewers weekly, and remains one of the top rated programs for males 18 to 34 and Hispanic households. Since SmackDown! moved to Friday night, UPN's Friday night viewership is up by approximately 95%. We are also currently in negotiations with UPN for a SmackDown! contract renewal, and will have more information once the negotiations are concluded. Branded Merchandise revenues continue to grow dramatically. This segment had its highest grossing quarter in the history of the Company. Home video revenues more than tripled from the prior-year quarter, due to the strong performance of the newly released Bret Hart DVD, which sold 178,000 units. Additionally, prior period releases continue to perform well. Tombstone, the History of the Undertaker, released in the second quarter, has sold nearly 217,000 units, making it our number 1 selling non-pay-per-view DVD title of all time. WrestleMania 21, with over 250,000 units sold to date, has become our highest selling DVD ever. WrestleMania, the Complete Anthology box set, a 21 disk volume covering all 213 WrestleMania matches, has sold over 20,000 units to date. On the licensing front, the SmackDown! versus RAW 2006 video game for the Sony PlayStation 2 and PSP console has sold approximately 2.5 million units worldwide in the quarter. And we are very proud of the numerous awards that this game has won. In the quarter, orders for our Internet-based storefront, WWE Shop, are 2.5 times higher than the prior year, growing from 36,000 orders to 93,000 orders. On December 7th, we ran a special promotion that led to the highest sales day ever, with 7,400 orders taken and generating over $600,000 in revenue. Quite a performance. As we refine and execute our digital strategy, we are looking forward to significant increases in revenue from our website, which we believe has tremendous growth potential. For the quarter, we averaged 13.5 million unique visitors and 47 million video streams per month, up from 9 million unique visitors and 35 million video streams per month last quarter. As discussed last quarter, we are in the process of implementing a targeted strategy to leverage and monetize our high level of Internet traffic and emerging trends in technology convergence. While we are just getting started with this initiative, our Internet -based operations, including e-commerce and advertising sales, generated nearly 9 million in revenue, up 105% from the prior year quarter. I'm happy to report that we have targeted release dates from both our films, See No Evil starring WWE superstar Kane, and distributed by Lions Gate, is currently targeted for release on May 19th. Lions Gate has really gotten behind this film. The trailer for See No Evil was shown with the movie Hostile, which was the number 1 film in the U.S. in the week it premiered. And also our trailer appears on the SAW II DVD. Both of these films are distributed by Lions Gate. The Marine, starring John Cena, and distributed by Fox, is targeted for release on September 29th. We are in preproduction of the film The Condemned, a new film starring Stone Cold Steve Austin, with an anticipated budget of $20 million. Production is slated to begin in the spring. As part of our normal course of business, we are constantly evaluating new scripts for future film projects, and are in discussions with different parties on various projects. I will provide further information in the future if we choose to move forward on any additional projects. Now, this concludes Linda's prepared remarks. Let me now give you -- walk you through the detailed financial information. As mentioned, our results for the third quarter were ahead of plan, with most of our key drivers improving over the prior-year quarter. Our revenues for the quarter were $103 million as compared to $83 million in the prior year. An increase of approximately 25%. This growth is even more impressive when you consider the fact that we lost approximately $8 million in advertising revenue in the quarter as a result of our new TV deal with USA Network, that began in October. Operating income was $21 million this quarter versus $12 million last year. The increase in operating income is due to increased revenues in the high margin home video and licensing businesses, and a 2.5 times improvement in sales orders from our Internet-based merchandise storefront WWEShop.com. Also included in operating income for the quarter is approximately $1.6 million in profit from our 1 additional pay-per-view event. Page 5 of our presentation lists revenues and profit contribution by business unit, as compared to the prior year. Revenues from live events increased by $7 million, due primarily to the timing of our international tours. This quarter's results reflect 19 international events, as compared to only 1 in last year's quarter. This increase is simply a matter of timing, as our full-year plan currently anticipates approximately 52 international events, 3 more than last year. It is also interesting to note that we recently implemented a strategy to lower our risk profile when we tour internationally in new markets. In January we completed a 3-event tour through Mexico that drew over 40,000 fans. The deal was structured as a buyout, where the local promoter took all the risk, and guaranteed WWE a fixed amount. Strategic buyout deals like this one allow us to tour internationally in untested markets, virtually risk-free. As we continue to expand internationally and venture into new markets, we expect to structure more of these types of deals. Our North American events continue to outperform the prior year, with an average attendance of 5,200 in the quarter as compared to 4,000 last year. A 30% increase. Revenue per event increased to 186,000 from 145,000 in the prior year's quarter. There were 53 North American events in the quarter, versus 76 in the prior-year quarter. This decrease was the result of the expanded international tour schedule. We intend to finish the year with between 245 and 255 North American events, versus 275 events last year. Pay-per-view revenues for the quarter, excluding the additional pay-per-view event, were up slightly from last year. The additional event, Taboo Tuesday, generated 3.2 million in revenue in the quarter. The 1.1 million buys for the 3 events that aired in both this quarter and the year-ago-quarter, namely Survivor Series, Armageddon and New Years Revolution, were up 6% compared to the prior year. Taboo Tuesday generated over 215,000 buys, which was up 24% from last year, when it aired in the second quarter. Of the 12 pay-per-view events held in the first 9 months of fiscal 2006, 10 have exceeded the buys recorded in fiscal 2005. As pointed out on the last call, our average revenue per buy is lower this year, as a greater percentage of our buys are coming from international sources, which command a lower price per buy. International buys currently comprise 36% of total buys, as compared to 28% in the prior year. International growth continues to be driven by the United Kingdom, Italian, and Australian markets. Television rights fees increased by approximately $1 million over last year, due primarily to increased fees from India, Japan, South Korea, and Italy. Our Branded Merchandise segment continues to deliver impressive results, with revenue increasing almost 70% compared to the year-ago quarter. These results are driven in large part by our home video business, where revenue increased by more than 3 times the prior-year quarter. This reflects an increase of over 400,000 units sold over last year, due to the strong performance of new releases, such as Bret Hart's DVD, and continued strong performance from prior-period releases, including Tombstone, History of the Undertaker, which sold another 60,000 units this quarter, and WrestleMania, the Complete Anthology box set, which sold over 20,000 units to date. Also, the increase in the number of multidisk titles released, including the Anthology box set, Bret Hart's DVD and the Undertaker's DVD, resulted in an increase in our average sales price for DVDs of $4 per unit as compared to the prior year, to bring the average price to approximately $16 for the quarter. Revenues from the sale of our merchandise increased by approximately 5 million, or 120%, to $9.5 million. The bulk of this increase relates to our internet-based storefront WWEShop.com, where orders processed were 250% higher than the previous year's quarter. Along with the large volume increase, the average sales per order increased by approximately $13, now driving the average sales per order to $62. Our profit contribution margin for the quarter was 45% compared to 46% in the prior year, a decrease of 1% versus Q3 of '05. This slight decrease reflects a change in revenue mix resulting from the absence of revenue from the high margin ad sales business. SG&amp;A expenses were $22 million in the current quarter, essentially flat compared to last year. EBITDA for the quarter was 23 million versus 15 million in the prior year, an increase of 51%. Page 12 of our presentation provides the details of this increase. As is our practice, page 13 shows a normalized EBITDA, adjusting for those items we consider to be unusual. There are no such items in the current quarter. It should also be noted that in the quarter, our effective tax rate has increased from last year. The prior-year's quarter included a tax benefit relative to our former entertainment complex, The World, resulting in a 28% effective tax rate. This quarter includes an additional tax provision for state and local taxes related to an audit of prior fiscal year, driving the effective tax rate for the quarter to 43%. We anticipate the full tax year rate to be approximately 38%. Page 15 of the presentation contains our balance sheet, which has not changed significantly since April 30th, 2005. On January 27th, we held $278 million in cash and short-term investments, up from 258 million at fiscal year-end, with virtually no debt. It is also noteworthy that the current quarter's cash balance has not changed since last quarter, demonstrating that in the quarter, the business was able to fund the increased dividend, without impacting its cash reserve. We have recorded $34 million in feature film production assets for the 2 films currently in post-production. These assets will be amortized on a pro rata basis, as revenues are recognized in accordance with GAAP. As we have stated in past calls, we do not anticipate seeing any revenues from these projects until fiscal 2007. For the quarter, we generated $9.5 million of free cash flow, as compared to $7.6 million in the year-ago quarter. During this quarter, we spent about $1 million on the production of our 2 feature films, as compared to $15 million in the prior year. The Company's outlook for fiscal 2006 is shown on page 16 of our presentation. Given our year-to-date results, we have increased anticipated total revenues to a range of 385 to $395 million. EBITDA is currently anticipated to be 70 to 73 million, income from continuing operations between 42 and 44 million, and fully diluted earnings per share from continuing operations of from $0.60 to $0.62. We have continued to assume in our full-year forecast that the elimination of ad sales from RAW will result in approximately $19 million in lower revenues, and $12 million in lower profit contribution, relative to last fiscal year. We are assuming modest growth in our other businesses, and intend to invest several million dollars in the Internet and other growth initiatives. It should also be noted that the Company has traditionally been conservative in its forecast, given the hit-driven nature of our businesses. That concludes this portion of the call. And I will now turn it back to Wayne.","male","meanwhite",94.363,"WWE","2-Mar-06","Q3"
"wayne rappaport","Wayne","wayne rappaport","World Wrestling Entertainment Inc. - Director","Director - Planning and Analysis"," At this point, I'd like to open the call to questions.Questions and Answers","male","meanwhite",90.478,"WWE","2-Mar-06","Q3"
"operator","Operator","NA NA",NA,NA," [OPERATOR INSTRUCTIONS] Michael Kelman, Susquehanna Business Group.",NA,NA,NA,"WWE","2-Mar-06","Q3"
"michael kelman","Michael","michael kelman","Susquehanna Financial Group","Analyst"," Thanks. That's Susquehanna Financial Group. It looks like home video revenue has been accelerating in each of the last 3 quarters. And I'd like to get a better sense of the sustainability of that revenue. So maybe you can talk about some of your upcoming releases in the fourth quarter and into fiscal 2007. As well, any other initiatives that you may be working on, in order to continue to fuel this growth.","male","meanwhite",94.363,"WWE","2-Mar-06","Q3"
"michael sileck","Michael","michael sileck","World Wrestling Entertainment Inc.","CFO"," Sure, Mike. As you have correctly noted, this segment of our business has been doing very well for us, and has been increasing. As we've said in the past, there is a bit of a hit-driven nature to this -- to this piece of the business. We have been very -- we've been very pleased with the results thus far. Every time we think we've had a terrific quarter, we seem to beat it the next one. So that momentum is continuing. Looking at the current fourth quarter, the one product that is out and is selling well, is our Blood Sport DVD, which involves the ECW. It's part of our ECW franchise, and that is selling quite well early in the quarter. And we look for that to continue to do well. As well as Bret Hitman Hart did well in the quarter, and we think that also will continue to move well. As we looked to the next year, we're currently in development of our schedule, and are in conversations with our distribution partner, Sony, to come up with optimal release. And we will be talking about that in the upcoming months. But a couple of things to think about will be, of course, the release of WrestleMania 22, after that event. As we -- as I will remind you, WrestleMania 21 has sold about 250,000 units, which is a record for us. So we are -- we anticipate that WrestleMania 22 set will also do very well. We're looking at our project with Dusty Rhodes, sort of a name from the past. And also a project involving Hulk Hogan. So those are some of the things that are on the slate coming up, and we hope that the -- and anticipate that the momentum that we've been seeing will continue.","male","meanwhite",94.363,"WWE","2-Mar-06","Q3"
"michael kelman","Michael","michael kelman","Susquehanna Financial Group","Analyst"," Great. Thanks, guys.","male","meanwhite",94.363,"WWE","2-Mar-06","Q3"
"operator","Operator","NA NA",NA,NA," Alan Gould, Natexis Bleichroeder.",NA,NA,NA,"WWE","2-Mar-06","Q3"
"alan gould","Alan","alan gould","Natexis Bleichroeder","Analyst"," Thank you. I assume that you're going to be on NBC in a couple of weeks at prime time. Are you willing to venture to guess what impact that might have on the pay-per-view buy rate of WrestleMania 22? And secondly Mike, you're saying the full year tax rate's going to be 38%. It looks like for the 9 months you're at like, 40%. What -- is the fourth quarter going to be that low?","male","meanwhite",89.6305,"WWE","2-Mar-06","Q3"
