"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," Good day, and welcome to today's teleconference. Currently, all participants are in a listen-only mode. Later there will be an opportunity to ask questions during our Q&amp;A session. At this time, I would like to turn the call over to Mr. Michael Weitz, Vice President of Investor Relations. Please go ahead, sir.",NA,NA,NA,"WWE","5-Aug-08","Q2"
"michael weitz","Michael","michael weitz","World Wrestling Entertainment Inc.","VP, IR, Financial Planning"," Thank you and good morning, everyone. Welcome to World Wrestling Entertainment's second quarter 2008 earnings conference call. Joining me for today's discussion are Linda McMahon, our CEO, Michael Sileck, our COO, and George Barrios, our CFO. We issued our earnings release earlier this morning and will be referencing a presentation as part of our discussion. These are available on our corporate website at corporate.wwe.com. We will be making several forward-looking statements today as part of our discussion. These statements are based on management's estimates. Actual results may differ due to numerous factors which are referenced on page one of the presentation and in our earnings release. Today we will review our financial results for the second quarter and will follow this review with a Q&amp;A session. At this time I would like to turn the call over to Linda.","male","meanwhite",94.363,"WWE","5-Aug-08","Q2"
"linda mcmahon","Linda","linda mcmahon","World Wrestling Entertainment Inc.","CEO"," Thanks, Michael. Good morning, everyone. Let me start by sharing my perspective on the quarter. Overall, our second quarter results were highlighted by positive top line trends and strong profit growth from our international operations. To some degree, the impact of our creative marketing effort, the timing of WrestleMania and the recognition of a film impairment last year make it more difficult to discern these trends and the underlying vitality of our business. What is important is that we continue to cultivate our global customer base. We managed growth in fundamental areas of our operations and strengthened our position for the future. In June, we carried out an innovative campaign, McMahon's Million Dollar Mania, to attract new viewers. For a period of three weeks, Mr. McMahon gave away a total of $1 million per week to loyal viewers watching Monday Night RAW. The $3 million sweepstakes, which was financed personally by the Chairman, Vince McMahon, exemplifies the commitment of our leadership and the creativity of our marketing efforts. Over the three-week period, the promotion increased RAW's total viewing audience by 25% to 5.8 million, and secured RAW's position as the top Monday night cable program among households, total viewers and various key male demographic categories. I should reemphasize that, while reported as part of our SG&amp;A expense, the sweepstakes was actually financed by Vince McMahon and was reported as a non-cash charge to our second quarter results. During the quarter, we also completed a new television distribution agreement, which extends our affiliation with Ten Sports in India and its parent company, Taj TV. The five-year agreement, which commences in 2010, poses economic advantages to WWE by providing higher license fees than our existing terms. Moreover, it provides an important platform for developing our audience in a region of the world which we believe has significant potential for growth. Consistent with our goal of engaging fans at a younger age, we began publishing a kids' magazine in April and in July initiated the beta test of a new website, wwe.kids.com, dedicated to this audience. More recently, our domestic television partners- - USA, SCI-FI and CW Networks- - recognized the family-friendly nature of our programming and adjusted their ratings from PG13 to PG. Over the long term, we believe these initiatives will offer more advertising and sponsorship opportunities, while strengthening the loyalty of our fans. A fundamental objective for the Company is to provide excellent returns to our shareholders. As we work towards that goal, we can do better in terms of bringing our top line growth to the bottom line. Although the rise in expenses broadly supports our revenue growth, we believe the relative faster growth in expenses is unacceptable. We are committing the Company to slowing the rate of growth in our cost structure. This will enable us to drive better near term results, while enhancing our strategic position. I always like to be able to give kind of a broad strategic overview, but I like to be able to provide our listeners and our analysts with Mike Sileck, our Chief Financial Officer, and George Barrios, our CFO, to really walk through the different parameters of the different divisions of the Company and our performance. So, Mike, I'll turn it over to you, first.","female","meanwhite",92.947,"WWE","5-Aug-08","Q2"
"mike sileck","Mike","mike sileck","World Wrestling Entertainment Inc.","COO"," Well, thank you, Linda. The second quarter of 2008 marked important progress in terms of our fundamental operating objectives. Our key operating metrics trended favorably, translating into significant increases in revenue and profits for our live events and home video businesses. More specifically, we increased revenue and profits from our international operations, maintained improved Pay-Per-View trends and continued to build the foundation for our digital media initiatives. During the quarter, we capitalized on opportunities outside the U.S. and generated a 30% increase in international revenue and profits. This performance was led by successful live event tours in both the United Kingdom and Australia. In addition, the quarter benefited from the expansion of our video game licensing, particularly in Europe. One particular area of success, which I would like to highlight, is the performance of our live event tours in Europe and Australia. Over time, we have worked to develop our global television platform with recent advances, particularly in Spain, France and India. During the quarter, we supported this work with a step up in marketing and promotion, utilizing the power of our talent and personal appearances to stimulate consumer demand. We also worked to achieve certain logistical efficiencies in our touring plan. As a result, our European and Australian tours set regional records for attendance, revenue and profit. Combined, they attracted attendance of over 234,000 fans, generated nearly $20 million in revenue and produced gross profits of almost $6 million. After establishing a new international organization last year, our second quarter results again underscore our potential to expand our business model and to drive growth in markets around the world. The results of the quarter provide further evidence that we have stabilized demand for our Pay-Per-View programs. Pay-Per-View buy rates increased 6% in the second quarter and 4% for the first half of 2008 versus the comparable events in the prior year. This contrasts favorably to the 12% decline incurred during the first half of 2007. Furthermore, on a year-to-date basis, Pay-Per-View revenue has increased 6%, as strong current year performance has more than offset the absence of New Year's Revolution in our 2008 schedule. By concentrating on our storyline content and promotional efforts, we have achieved overall growth and revenue within six months of streamlining our 2008 calendar. Turning to our digital media initiative, we saw a year-over-year decline in revenue, as a rise in e-commerce was offset by lower sales of premium services, mobile content and online advertising. The performance of our webcasts and other online services was adversely impacted by the timing of WrestleMania and the benefit of some compelling content in the prior year. As a reminder, the explosive story line involving the Mr. McMahon character ignited viewer interest and resulted in internet traffic, which was 28% higher than the current quarter. On a sequential basis, compared to the first quarter, internet traffic, as measured by page views, has increased by 9%. This reflects our efforts to broaden and involve our content. At the onset of the quarter, we launched our first official community site, WWEFanNation. In addition, we revamped the wwe.com site to offer more video content and to provide easier navigation. We believe these efforts are working. To realize greater returns as our traffic grows, we have recruited an experienced sales executive and better aligned both our sales and e-commerce organizations. These steps enhance our product offerings and our ability to realize the full value of our digital media initiatives. Overall, for the first six months of the year, we achieved 19% revenue growth, with increases from nearly all of our business units. Our top line performance in a weakening economic environment provides reassurance that we can maintain a path towards our long term financial objectives. This means average annual revenue growth of 10% and average annual earnings growth of 12% over the 2006 through 2011 period. To date, we have made investments across the Company which support our revenue growth. We recognize, however, that achieving our financial goals requires additional effort to manage our expenses. This includes reassessing our spending across the entire company, being smarter about how we conduct our current business activities and making difficult decisions regarding how we prioritize investments. At this point, I would like to turn the call over to George Barrios to review our financial performance for the quarter. George?","male","meanwhite",81.55,"WWE","5-Aug-08","Q2"
"george barrios","George","george barrios","World Wrestling Entertainment Inc.","CFO"," Thanks, Mike. For the second quarter, we reported a 44% increase in profit contribution and a 6% decline in revenue. These results, however, were impacted by the timing of WrestleMania, as well as the recognition of a film impairment in the prior year. Excluding the impact of these items, revenue increased 22% and profit contribution increased 24%. We estimate that less than 2% of this revenue growth was attributable to changes in currency exchange rates. In terms of our profits, strong growth in our live events business was partially offset by increases in television production costs, which were incurred primarily to produce our programs in high definition. During the quarter, our profit growth was also offset by a non-cash marketing charge and increases in staff, legal and talent-related costs. These costs were incurred to promote our brands, to establish our infrastructure, as well as to protect both our talent and intellectual property. Spending in these areas served to strengthen our content creation, marketing and distribution capabilities, which are critical pillars of our business. While pleased with our top line growth in a tough economic context, there is work to be done in terms of our expenses. In the short term, this means slowing the rate of growth and headcount in other expenses. Looking further ahead, this means managing our expenses to reflect a more appropriate proportion to the revenue we generate. For a more detailed review of our performance in the quarter, let's turn to Page 5 of our presentation, which lists the revenue and profit contributions by business unit as compared to the prior year. Starting with our live events, including merchandise sales at these events, revenue increased by $5 million, or 14%. The strong performance of our international events more than offset the timing of WrestleMania in the prior year. Average attendance at our international events grew by 52% year-over-year to 9,100 fans per event. Our 20-event European tour attracted paid attendance of over 170,000 fans, generated $14.4 million in revenue and became the highest grossing international tour in WWE history. The quarter also benefitted from an expansion of international touring, with 31 international events, as compared to 26 last year. Our 7-event tour in Australia produced over $5 million in incremental revenue. Live events held in North America attracted average paid attendance in line with the second quarter last year. However, excluding the impact of WrestleMania, average paid attendance increased 19% to 6,900. As anticipated in our last earnings call, the timing of popular venues in the second quarter more than offset first quarter decline in attendance, excluding WrestleMania. On a year-to-date basis, attendance at our North American events has increased approximately 1% to 7,000. Overall, with a focus on realizing increased efficiencies in our touring, our live events achieved year-to-date increases in attendance, revenue and profitability. Revenues from our Pay-Per-View business declined $21.9 million, or 55%, due entirely to the timing of our WrestleMania event, which added $24.6 million in revenue to the second quarter of last year. Excluding the impact of WrestleMania, Pay-Per-View revenue increased 18%, driven in part by a 6% increase in buys for comparable events. As mentioned in previous calls, the Company has focused intensely on addressing the operational challenges to our core Pay-Per-View business. As a reminder, we reduced the number of events in our 2008 schedule to 14, eliminating the January New Year's Revolution event. The change was based on our belief that streamlining the Pay-Per-View schedule would allow us to concentrate our creative and promotional efforts and drive increased buys over time. Year-to-date Pay-Per-View revenue has increased 6%, as improved current year trends have more than offset the absence of New Year's Revolution, validating our strategy. Revenues from the distribution of our television programming increased by 3%, or nearly $1 million, primarily due to increased domestic and international rights fees. These increases, however, were offset by incremental costs, primarily to produce and broadcast our programs in high definition. In our consumer products segment, our home video business delivered an impressive 25%, or a $3.7 million increase in revenue. This revenue growth reflects the shipment of over 1.3 million DVD units in the quarter, 25% above the prior year period. Shipments of titles from our catalogue increased by about 137,000 units to 310,000 units for the quarter. Approximately 15% of the overall home video revenue growth came from international licensing agreements, particularly from Australia, the UK and Germany. Our licensing revenue increased by 17%, or $1.3 million, over the prior year quarter, led by higher sales of our video games. Unit sales of our SmackDown versus RAW 2008 video game title increased by 75% to over 700,000 units for the second quarter. Sales benefitted from the launch of this game on the PS3 Wii and Nintendo DS platforms. The addition of these game platforms aided our international expansion. Sales in European markets, such as Spain, counted for the majority of the year-over-year growth in video game and licensing revenue. Our digital media segment, comprised of online advertising, ecommerce and wireless businesses, generated $7.9 million in revenue, representing a 4% decline from the prior year quarter. Revenue from our premium services, such as Pay-Per-View webcasts and online advertising, were adversely impacted by the timing of WrestleMania and the extraordinary peak in traffic that occurred in the prior year. Traffic to our wwe.com website declined 22% to an average of 15.8 million unique visitors per month. Despite the decline in traffic, ecommerce orders increased 4% to approximately 71,000 orders and the average revenue per order increased 4% to about $53.00, reflecting improved product selection, placement and promotion. During the quarter, WWE Studios recognized revenue of $2.6 million and profit of $2.2 million, predominantly from continued DVD sales associated with our portfolio of films. In terms of our film slate, we completed production of both our direct-to-video project, Behind Enemy Lines - Columbia, and our feature film, 12 Rounds. These will be distributed by our film partner, Fox, beginning in 2009. As of quarter end, we had $33 million in film assets. Our overall profit contribution margin reached 41%, which was in line with the second quarter last year, excluding the prior year impact of WrestleMania and the film impairment. Improved margins from our domestic and international live event operations were offset by increases in our Pay-Per-View and television production costs. These incremental costs stemmed in part from our implementation of high definition programming. SG&amp;A expenses increased to $37.6 million, compared to $25 million in the second quarter last year, primarily due to marketing, staff related and legal costs, which I discussed earlier. In addition, the increase reflected additional costs for our Talent Wellness and development programs. As a reminder, the current year includes a $3 million non-cash charge related to the marketing promotion, which was funded by our Chairman. In addition, the prior year benefitted from legal settlements totaling $0.9 million. For the quarter, operating income increased 24% to $12 million. It should be noted that other expense recorded below operating income in the quarter included a revaluation of certain [warrants]. In aggregate, non-cash charges in the quarter that we've discussed today resulted in a reduction of $2.7 million to net income and $0.04 to EPS. The effective tax rate in the current quarter was 40%, as compared to 37% in the prior year quarter. Page 14 of our presentation compares the quarter-over-quarter results and provides a summary of changes by business. Page 15 of the presentation contains our balance sheet, which remains strong. On June 30th, we held $218 million in cash and investments, with virtually no debt. Page 19 shows our free cash flow. For the quarter, we generated a free cash flow deficit of $17.9 million, compared to positive free cash flow of $22.9 million in the second quarter last year. The change reflects our increased investment in feature films, as well as changes in our working capital. Capital expenditures increased $4.7 million, primarily associated with our investment in high definition broadcast equipment. We are currently in the planning stages for an expansion of our media production facility. Recognizing the rise in material costs since our planning began, zoning requirements and other factors, we have revised our preliminary estimate of the total project cost from a range of $65 million to $75 million to approximately $100 million. This capital expenditure will occur primarily over the 2009 through 2011 period. That concludes this portion of our call and I'll now turn it back to Michael.","male","meanHispanic",89.54,"WWE","5-Aug-08","Q2"
"mike sileck","Mike","mike sileck","World Wrestling Entertainment Inc.","COO"," Thank you, George. Jill, we're ready now. Please open the lines for questions.Questions and Answers","male","meanwhite",81.55,"WWE","5-Aug-08","Q2"
"operator","Operator","NA NA",NA,NA," Yes, sir. (OPERATOR INSTRUCTIONS) We'll take our first question from Richard Ingrassia with Roth Capital. Please go ahead.",NA,NA,NA,"WWE","5-Aug-08","Q2"
"richard ingrassia","Richard","richard ingrassia","Roth Capital","Analyst"," Thanks. Morning, everybody.","male","meanwhite",93.697,"WWE","5-Aug-08","Q2"
"mike sileck","Mike","mike sileck","World Wrestling Entertainment Inc.","COO"," Morning.","male","meanwhite",81.55,"WWE","5-Aug-08","Q2"
"richard ingrassia","Richard","richard ingrassia","Roth Capital","Analyst"," Linda, this is the third quarter in a row now you've moved opposite the weakness in overall U.S. consumer product spending. And in the Q2 numbers I really only see a slight decline in per capita event merchandise that conflicts there. Are you seeing any broader signs that indicate the change in your counter-cyclical strength?","male","meanwhite",93.697,"WWE","5-Aug-08","Q2"
