"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," Welcome to today's teleconference, at this time all participants are in a listen-only mode. Later, there will be an opportunity to ask questions during our Q&amp;A session. I will now turn the program over to your moderator Mr. Michael Weitz.",NA,NA,NA,"WWE","5-Dec-06","Q2"
"michael weitz","Michael","michael weitz","World Wrestling Entertainment Inc.","VP, IR, Financial Planning"," Thank you. Welcome to World Wrestling Entertainment's second quarter conference call. My name is Michael Weitz, Vice President of Investor Relations and Financial Planning at WWE. Here with me today are Linda McMahon our CEO, and Michael Sileck our CFO. We issued our earnings release earlier this morning and will be referencing a presentation as part of our discussion. These are available on our corporate website at corporate.WWE.com. We'll be making several forward-looking statements today as part of our discussion. These statements are based on management's estimates. Actual results may differ due to numerous factors as called out on page 1 of the presentation and in our earnings release. Today we will review our operating highlights and second quarter results followed by a Q&amp;A session. As a reminder, in June, we announced our Board's decision to change the Company's fiscal year end to a calendar basis beginning with calendar year 2007. This change resulted in an 8-month period through December of which we refer to as our 2006 transition period. At this time, I would like to turn it over to Linda.","male","meanwhite",94.363,"WWE","5-Dec-06","Q2"
"linda mcmahon","Linda","linda mcmahon","World Wrestling Entertainment Inc.","CEO"," Thank you, good morning, everyone and we appreciate again your joining us. During the last earnings call we highlighted our objective of positioning the Company for long-term growth. We also underscored the importance of managing our business to achieve our transition period financial expectations. In the second quarter we continued to make important progress on these goals. First, we delivered impressive revenue growth versus a strong quarter last year. The current quarter drew strength from the favorable trends underlying our live events, home video, and e-Commerce businesses. Revenue growth in these areas more than offset the anticipated absence of domestic television ad sales. As a result in our new deal with USA Network, we longer sell advertising in our programs. Consistent with our transition period, financial expectations we also increased investment in our television programming and key strategic initiatives before providing you with an update on the progress of our strategic initiatives. Before providing you with an update on the progress of our strategic initiatives, however, let me start by sharing some perspective on our current results. We posted earnings below what was an outstanding quarter last year, a quarter that also benefited from a $3.4 million legal settlement. As previously indicated we expected that the sunset of television advertising, increased investment, and the absence of last year's legal settlement would have a direct impact on our earnings growth. As a result of these factors, the year-over-year change in the Company's earnings does not reflect the underlying vitality and positive momentum of our businesses. This positive momentum can be seen in the performance of our domestic live events business. Average attendance at our North American live events increased on a comparable year-over-year basis for the seventh consecutive quarter. Excluding ECW average attendance increased 21% to 5200 in the current quarter and mirrored a comparable increase for the year-to-date period. Moreover, this business contributed both revenue and profit growth to the quarter's results. We believe that the performance of our domestic live events is an indicator of the overall positive trends developing across our businesses. Complementing the growth in live events, both our home video and e-Commerce operations realized their sixth consecutive quarter of year-over-year growth. Home video DVD shipments increased 67% in the quarter and online merchandise orders nearly doubled. During the quarter, we accomplished several operational objectives that should help us take advantage of these trends. First, we successfully transitioned our SmackDown branded program to the CW Network. Since moving to the CW, SmackDown's U.S. coverage has increased by more than 3 million homes. In addition, while the coverage has grown, SmackDown's appeal to audiences has grown stronger. Drawing over a 5% increase in viewers in the first few months after the transition. We also completed a new home video distribution agreement with Genius Products, which became effective in November. We believe the partnership will enhance our revenue potential by leveraging Genius's best in class management and their strong relationships with retailers. In addition, we expect that the 3-year agreement will pose economic advantages to WWE by providing better terms than the deal with Sony that it replaced. Now let's turn back to our long term growth initiatives. During the quarter our management sustained an ambitious campaign to relaunch ECW as a third brand. We secured television distribution on the Sci-Fi channel through December 2007 and held 34 nontelevised live events through the second quarter. These events were staged in smaller venues which provided our fans with a unique experience. We believe these venues do not provide an efficient avenue to expand ECWs audience. As such we are refining our touring strategy in order to find a more economical way to grow this brand. Going forward, ECW's live events will be coupled with SmackDown until ECW builds a large enough audience to tour independently. At that time ECW may tour in larger venues following the same business model as RAW and SmackDown. We continue to believe that we can develop strong consumer demand for this unique form of entertainment and that the venture will build value over the long-term. Now let's turn to an update on our digital media initiatives. During the quarter as our e-Commerce business continued to surge, we focused on the development of our online advertising. Specifically, we made some key organizational changes. We brought in new talent to revamp our online advertising sales efforts and realigned these activities under an experienced senior executive. We believe the changes enacted in the quarter have already enhanced our selling efforts and our ability to attract new advertisers. While there is still more work ahead of us, we remain committed to realizing the value of this business. Finally, regarding our film's initiative, we released our second feature film The Marine on October 13. To date, The Marine has garnered more than $18 million in domestic box office receipts and is pacing in line with our profit projections for the film. So from my perspective, our businesses remain strong. We continue to work hard to position the Company for the long-term. Now, I'm giving you a strategic overview and I would like to turn it over to Mike Sileck our CFO to take you more through the financial details.","female","meanwhite",92.947,"WWE","5-Dec-06","Q2"
"mike sileck","Mike","mike sileck","World Wrestling Entertainment Inc.","CFO"," Thank you, Linda. As Linda has mentioned we delivered an impressive 8% increase in revenue to $96 million in the second quarter. Exceeding a strong second quarter last year. Revenue growth in our live event, home video, and e-Commerce businesses more than offset the decline in our domestic TV advertising, which we had anticipated. As we've previously discussed, the quarter reflected a $4 million reduction to profit from the absence of domestic television ad sales. In addition, the second quarter last year reflected a $3.4 million benefit from a legal settlement. Excluding the impact of these factors gross profit and operating income increased slightly over the prior year. During the quarter, our strong top line growth was mitigated by increases in our television production costs and by increased investment in our strategic initiative. Page 5 of our presentation lists the revenue and profit contribution by business unit as compared to the prior year. Revenues from live events including merchandise sales at these events increased by about $6 million or 36% led by the timing of our international tours. This quarter's results reflect 11 international events as compared to only 2 in last year's quarter. The 11 events in the current quarter were staged in both emerging markets, including Mexico and the Philippines as well as more established markets in Australia and Japan. With a 21% increase in average attendance, excluding ECW, our North American events also contributed to an increase in profits during the quarter. Overall, the profit contribution for live events increased by just over $1 million from last year. For the remainder of the year, our plan calls for 21 international events compared to 16 events in the comparable period last year. Turning to our pay-per-view business, revenues for the quarter were essentially flat to the second quarter last year. Revenue reflected a 4% increase in buys for the 3 pay-per-view events that were in both quarters and a $5 domestic price increase that was initiated earlier in the year. These growth factors were offset by the recognition of over 300,000 prior period buys in last year's second quarter. International buys in the quarter comprised 36% of the current period total as compared to 40% in the prior year. In our consumer product segment, our home video business continued to deliver strong revenue growth. Home video revenue increased 22% to nearly $15 million reflecting the shipment of 1.2 million DVD units, a 67% -- 67% above the prior year quarter. Sales were led by the release of our Hulk Hogan title which has shipped over 200,000 units to date. During the quarter home video revenue was impacted by sell through rates that while still on average better than the industry norm were below year ago levels. We believe the revenue and profit growth generated by this business over the past year is due in large part to the development of strong relationships with our retail partners. Looking forward, we expect our work with Genius Products will enhance our relationship with retailers and facilitate greater operating efficiencies. Revenues from our licensing activities increased 14% to $7.3 million primarily due to greater royalties earned from book publishing, novelty products, and music. During the quarter, we saw an improvement in our international sales. Also of note, in November we released the 2007 version of our SmackDown versus RAW video game for the PS2, PSP, and Xbox 360 platforms. Sales of these games will be reported by our licensee partners in 2007. Our digital media segment comprised of online advertising, e-Commerce, and wireless businesses delivered revenue growth of 51% compared to the year ago quarter. Revenues from the sale of merchandise on our Internet based store front WWEShop increased about $2 million or 125% compared to the prior year with orders processed nearly doubling to 71,000. Along with the large volume increase, the average sales per order also increased by approximately $5 to $51. Revenues for our other digital media businesses increased 17% to $2.7 million reflecting growth from both our online advertising and wireless businesses. We continue to build our online ad sales and content infrastructure in order to monetize our high level of Internet traffic. For the quarter, we averaged 16.6 million unique visitors and 44 million video streams per month, compared to approximately 9 million unique visitors and 25 million video streams per month in the second quarter last year. Our profit contribution margin for the quarter was 40% compared to 47% in the prior year. The 7 percentage point decrease versus last year primarily reflects the absence of high margin domestic TV ad sales. As I mentioned earlier, our profit margin was also mitigated by increases in our television production costs, including a technical trial of high definition broadcasting as well as ongoing investment in our strategic initiatives. SG&amp;A expenses were $24.6 million in the current quarter, up 24% from the second quarter last year, which benefited from a $3.4 million legal settlement. Excluding the settlement, SG&amp;A expenses increased 6%, primarily reflecting increases in staff associated with our digital media initiative and increased stock compensation costs. Operating income for the quarter was about $11.7 million, excluding the impact of domestic television ad sales and legal settlements operating income exceeded last year's second quarter results. Page 14 of our presentation compares the year-over-year results and provides a summary of changes by business. It should be noted that our effective tax rate decreased from the second quarter last year. The decrease reflects the settlement of a state and local tax audit that resulted in a lower 29% effective tax rate for the quarter compared to 42% in last year's quarter. Excluding the impact of the settlement, the current quarter's tax rate would have been 36%. In the future, we expect our effective tax rate will be approximately 36%. Page 15 of the presentation contains our balance sheet, which remains strong. On October 27, we held $254 million in cash and short-term investments with virtually no debt. To date, we have recorded $53 million in feature film production assets. As we have stated in past calls,these assets will need amortized on a pro rata basis as revenues are recognized in accordance with GAAP. Our first feature film, See No Evil was released on May 19, and generated approximately $15 million in domestic box office receipts. The film is currently being distributed on DVD by our partner, Lyon's Gate. Our second feature film The Marine was released on October 13, and has generated over $18 million in domestic box office receipts to date. We do not anticipate realizing any revenues from our feature films until calendar year 2007. For the quarter, we generated free cash flow of $5 million compared to $14 million in the second quarter last year. The decline primarily reflects changes in working capital, partially offset by lower capital expenditures. We spent approximately $5 million in the second quarter last year to acquire land adjacent to our television facility. As we mentioned in our last earnings call, we are changing the Company's fiscal year-end to a calendar basis beginning with the 2007 calendar year. Regarding our business outlook for our 8 month transition period through December 31, 2006 we continued to expect modest revenue growth from the $248 million in the comparable period in 2005. In addition, we anticipate bottom line results approximately even with the $30 million of net income in the comparable period last year. That concludes this portion of our call, and I will now turn it back to Michael Weitz.","male","meanwhite",81.55,"WWE","5-Dec-06","Q2"
"michael weitz","Michael","michael weitz","World Wrestling Entertainment Inc.","VP, IR, Financial Planning"," Thanks, Mike. Operator, we're ready now, please open the line for questions.Questions and Answers","male","meanwhite",94.363,"WWE","5-Dec-06","Q2"
"operator","Operator","NA NA",NA,NA," Thank you. [OPERATOR INSTRUCTIONS] We'll take our first question from Michael Kelman with Susquehanna. Go ahead, please.",NA,NA,NA,"WWE","5-Dec-06","Q2"
"michael kelman","Michael","michael kelman","Susquehanna","Analyst"," Thanks. Hi, I wanted to dig a little bit more into the gross margins in the quarter. I think specifically gross margins in the consumer product segment were around 52% this quarter, which was more than 400 basis points lower than the fiscal first quarter and over 900 basis points lower than last year's fiscal Q2. Can you talk about some of the major drivers? What drove the margin contraction? And perhaps you can provide with some of the margin detail for licensing home video and the magazine business? And then more importantly maybe you can talk a little bit about where you see these margins trending over the next several quarters?","male","meanwhite",94.363,"WWE","5-Dec-06","Q2"
"mike sileck","Mike","mike sileck","World Wrestling Entertainment Inc.","CFO"," Sure, Mike. I'll take that one. Regarding the margins, primarily -- in consumer products, primarily if you look at the DVD business, that margin was down from the prior year. And much of that had to do with -- the sell through rates regarding the DVDs were lower in this quarter than they were in the prior year quarter. The prior year quarter was especially helped by certain titles that sold just exceptionally well with over 80% sell through rates and a few of the titles last year. In particular The Undertaker DVD. This year, this year's quarter, we've returned sort of a more normalized rate. And as a result of that, that compressed the margin in the quarter. Looking ahead to that business, that's an important part of our business, obviously, we look for over time particularly with our new partnership with Genesis. As we look to get the model even ore efficient and as we just look at our titles over the next coming several years, we expect that margin to kind of settle in, in kind of the mid 50s where it has been historically. This quarter was dow slightly below 50, but we expect that to kind of moderate over time back to the mid 50s. And then the only other piece of that, Mike, that I'll clarify is in the publishing. We had said a year ago or 9 months ago at -- as we were going to transition to a cleaner, we're consolidating our magazines to one edition of the magazine, WWE Magazine and that debuted July of this year. There are higher costs associated with that magazine, we think it's a much better product. The news stand reception has been very well. But there is an investment period for that that we're sort of working our way through now. Again, totally anticipated. I think those are the two things that I would point out relative to the margins. And we do think the publishing business over time as the strength of the advertiser pace solidifies for that product and as the subscriptions, which we think will increase over time. We think that will shore up that margin, as well.","male","meanwhite",81.55,"WWE","5-Dec-06","Q2"
"michael kelman","Michael","michael kelman","Susquehanna","Analyst"," I have one other question with regards to, maybe you can talk a little bit about your expectations for home video sales for See No Evil, as it was just released the other week? And maybe also talk about what type of sell through rates or units shipped you would need in order to meet your expectations or to hit the profit hurdle on that film.","male","meanwhite",94.363,"WWE","5-Dec-06","Q2"
"mike sileck","Mike","mike sileck","World Wrestling Entertainment Inc.","CFO"," Sure. Mike. The See No Evil DVD did go on sale on Tuesday. For those of you who have not purchased it yet, we'd appreciate you going out and buying it. We have in the model a little over a million units expected to be -- in fact, we did ship over a million units out to our retail partners. And we, in terms of our model we expect in the neighborhood of a million units to be sold through. The -- and the early returns on these things are -- the early indications are that we're right in line with our plan for that.","male","meanwhite",81.55,"WWE","5-Dec-06","Q2"
