"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," Good day and welcome to the WWE 2008 Q3 earnings conference call. At this time I'd like to turn the call over to Mr. Michael Weitz, Vice President of Investor Relations and Financial Planning for World Wrestling Entertainment.",NA,NA,NA,"WWE","6-Nov-08","Q3"
"michael weitz","Michael","michael weitz","World Wrestling Entertainment Inc","VP IR &amp; Financial Planning"," Thank you and good morning, everyone. Welcome to World Wrestling Entertainment's third quarter 2008 earnings conference call. Joining me for today's discussion are Linda McMahon, our CEO, and George Barrios, our CFO. We issued our earnings release earlier this morning and will be referencing a presentation as part of our discussion. These are available on our corporate website at corporate.wwe.com. We will be making several forward-looking statements today as part of our discussion. These statements are based on management's estimates. Actual results may differ due to numerous factors which are referenced on page one of the presentation. These risks and uncertainties are discussed in more detail in our filings with the SEC. Reconciliations for non-GAAP financial information discussed on this call can be found in our earnings release or on our website. Today we will review our financial results for the third quarter and will follow this review with a Q&amp;A session. At this time I would like to turn the call over to Linda.","male","meanwhite",94.363,"WWE","6-Nov-08","Q3"
"linda mcmahon","Linda","linda mcmahon","World Wrestling Entertainment Inc","CEO"," Good morning. Thanks, Michael, and we thank all of you for joining us today. Over the past year we've seen a difficult economic environment, which was been challenging for many companies. Through the first half of 2008 our business model demonstrated strength as we achieved significant top-line growth. In the third quarter, however, our revenue growth slowed, demonstrating that we are resilient but not immune to the negative impact of a weakening economy. We recognize that WWE may face more challenging trends in the near term. As a result, we've taken steps to reduce costs and improve our operating margins. First, consistent with our previously announced commitment, we initiated a series of in-depth reviews to evaluate our entire cost structure. Through these systematic reviews we have targeted and are moving forward with a reduction to our 2009 expense structure of at least $20 million. Secondly, we reassessed the design requirements of our Media Center and reduced our planned capital spending by approximately $30 million. After adjusting our plans, we are now targeting a revised spending range between $65 million and $75 million, in line with our original cash estimates for the project. While working to improve our cost structure, we made significant progress on other key strategic objectives. We strengthened our television platform both domestically and internationally and expanded the distribution of our content in new online and print media. During the quarter and October we successfully transitioned our SmackDown program to MyNetwork TV. As anticipated, SmackDown has become the cornerstone of MyNetwork TV line up and retained its position as the number broadcast show on Friday nights in terms of young male viewers. Since the launch of SmackDown on MyNetwork TV we have seen either stable or increased ratings in the majority of the nations largest television markets. Similarly, we completed agreements with Televisa and TV Azteca that greatly improved the distribution of our television programs throughout Mexico. These new agreements have made our programs available to over 20 million TV homes in Mexico. Since their debut, both our RAW and SmackDown programs have attracted audiences of close to or exceeding 1 million TV homes. As such, these deals provide an important platform in a region of the world which we believe has significant potential for future growth. Consistent with our international strategy, we have begun to license our online and print content in both emerging and traditional markets. During the quarter we completed a deal to produce a Mandarin website in China. We've now completed agreements and begun to launch local language websites in Australia, Italy and Portugal. Similarly, we continue to leverage our magazine content with the successful launch of our WWE Kids Magazine in the UK and have recently initiated the licensing of our WWE Magazine in Mexico and France. Distributing local language versions of these products is highly profitable because the translation and production costs are borne by our sales partners. As with our international strategy, we are leveraging smart product extensions to accelerate the returns from our digital offering. During the quarter we launched a new website dedicated to a younger audience, WWEKids.com. The new website supplemented the ongoing expansion of our WWE Kids Magazine, which was first published in April. On a combined basis, these programs surpassed break even and were profitable within their first few months of operation. Against the backdrop of a challenging environment, we are working to reduce our structure to define new innovative ways to distribute our product. These changes will not enable you to improve our near term results, but will also position us to better capitalize on opportunities as the economy recovers. The perhaps most important statement that I would like to make this morning is that WWE remains committed to managing our business in a manner that is consistent with maintaining our dividend and achieving our long-term financial objectives. Now before I conclude, let me comment on an announcement that we made this morning and that is that, effective December 31 this year, we will accept Mike Sileck's resignation as COO and a member of the Board of Directors. Mike has significant experience in the entertainment industry and brought an insightful perspective to WWE. We appreciate the contributions he has made, both as our Chief Financial Officer and as our Chief Operating Officer. Donna Goldsmith, Executive Vice President of Consumer Products, has been named as his successor. Donna came to WWE from the NBA and has been with the Company for the past eight years, during which time she's overseen the tremendous growth of our consumer products businesses. Her business acumen, leadership skills, product knowledge and track record make her especially qualified to fill the COO position and to serve on the Board of Directors. Now let me turn the call over to George Barrios for more of an update on our financial performance.","female","meanwhite",92.947,"WWE","6-Nov-08","Q3"
"george barrios","George","george barrios","World Wrestling Entertainment Inc","CFO"," Thanks, Linda. For the third quarter we reported a 5% decline in profit contribution, based on revenues that matched our top-line performance in the prior year. Our international operations generated a 7% increase in revenue, which supported our overall results. Increased profits from our Consumer Products segment were more than offset by lower results from our Pay-Per-View, WWE.com and Live Event businesses. Lower results in these areas reflected both top-line declines and increased production costs. Several factors dampened our revenue growth, including the timing of our international events and tough competition from a compelling Olympics in Beijing. However, we believe the revenue declines in our Live Event and Pay-Per-View businesses were at least somewhat influenced by a weakening economy. Profit contribution in the quarter was also reduced by a $1.9 million charge, based on revised expectations for our feature film, See No Evil. Excluding the impact of this charge, gross profit was essentially flat to the prior year. We estimate that changes in currency exchange rates had a negligible impact on profits. Operating income was $7.9 million compared to $13.4 million in the prior year, reflecting the decline in profit as well as year-over-year increases in staffing, marketing and talent related costs. SG&amp;A expenses for the third quarter were below the levels reported earlier in the year. Looking forward, we believe we can adjust our expenses to reflect a more appropriate proportion to the revenue we generate. To date we have slowed the rate of growth in headcount and other expenses. We are now reviewing every area of our business to identify potential savings. Based on our work, we estimate that we can achieve at least $20 million of cost savings from across our operations. For a more detailed review of our performance in the quarter, let's turn to page five of our presentation, which lists the revenue and profit contribution by business unit as compared to the prior year. Starting with our live events, including merchandise sales at these events, revenue reached $24.5 million, exceeding the prior year by 2%. An increase in the number of domestic events from 63 to 77 more than offset declines in average attendance, both domestically and internationally. Average attendance at our North American events fell 4% to 5,300. Average attendance at our international events declined 28% to 6,600, also affected in part by changing market conditions that impacted our September tour in Portugal, Spain and Austria. Turning to our Pay-Per-View business, revenue decreased 13% or $2.4 million from the third quarter last year. Revenue reflected an overall 9% decline in buys for the three pay-per-view events that were produced in both the current and prior year periods. Combined buys for Great American Bash and SummerSlam declined 12% from the prior year as the latter aired against the Beijing Olympics. Buys for Unforgiven, the last event in the quarter, were essentially flat to the prior year. Revenues form the distribution of our television programming increased by 7% or $1.6 million, primarily due to increased domestic and international rights fees. These increases, however, were offset by incremental creative costs primarily to produce and broadcast our programs in high definition. In our Consumer Products segment, our home video revenue nearly doubled from the prior year. This growth reflected a more robust release schedule, as well as strong sales of both new and catalog titles. DVD shipments increased 35% to approximately 730,000. Q3 2008 had seven new title releases versus only three pay-per-view titles in the prior year quarter. Approximately 155,000 units of catalog titles shipped in the quarter compared to about 117,000 units in the prior year quarter. Expanded distribution in France, Australia, Spain and Germany also contributed to the year-over-year increase in revenue. Our licensing revenue increased by 13% or $1.2 million over the prior year quarter, led by higher sales of our video games and music. Unit sales of our SmackDown versus RAW 2008 video game title increased by 71% to nearly 500,000 units for the third quarter. Sales benefited from the launch of this game on the PS3, Wii and Nintendo DS platforms. The addition of these game platforms aided our international performance in the quarter. Sales in European markets such as Spain accounted for the majority of the year-over-year growth in video game and licensing revenue. Our Digital Media segment, comprised of online advertising, e-commerce and wireless businesses, generated $7.9 million in revenue. Despite a 7% decline in Internet traffic, e-commerce orders increased 23% to approximately 70,000 orders and average revenue per order increased 2% to above $55. Higher buy rates reflected continued improvements in our product selection, placement and promotion. A 26% rise in e-commerce revenue, however, was largely offset by lower sales of online advertising, reflecting the transition of our Internet ad sales team to new management. After hiring an experienced sales executive at the start of the quarter, we are now seeing increased activity in our ad sales pipeline. To monetize our traffic more effectively, we launched a new video player just last week. The player provides a richer experience for our website customers and greater capacity for video advertising with higher pricing or video CPNs than other forms of online promotion. During the quarter WWE Studios recognized revenue of $5.6 million and profit of $2.2 million, predominantly from continued DVD sales associated with our portfolio of films. Current period profits also included a $1.9 million charge, as mentioned earlier. The results compare unfavorably to the prior year quarter, which benefited from strong sales and timing of The Marine in domestic DVD markets. In terms of our film slate, production of both our Direct-to-Video project, Behind Enemy Lines Columbia, and our feature film, 12 Rounds, have been completed. These will be distributed by our film partner, FOX, in 2009. Our overall profit contribution margins declined to 39% from 41% in the prior year quarter. Higher cost of production resulted in lower margins for WWE's Live Events, Pay-Per-View and WWE.com businesses. SG&amp;A expenses increased 8% to $31.3 million, lead by higher marketing and staff related costs, primarily to support our initiatives in international markets. In addition, the year-over-year change reflected increased professional fees and higher cost of our talent wellness programs. For the quarter, net income declined to $5.3 million compared to $8.5 million in the prior year quarter. It should be noted that other expense reported below operating income in the quarter included an $800,000 charge associated with the revaluation of certain warrants. In aggregate, non-cash charges arising from our film activity and financial investments resulted in the reduction of $2.3 million to net income and $0.03 to EPS. The effective tax rate in the quarter was 32% as compared to 40% in the prior year quarter. Page 14 or our presentation compares the quarter-over-quarter results and provides a summary of changes by business. Page 15 of the presentation contains our balance sheet, which remains strong. On September 30 we held $209 million in cash and investments, with virtually no debt. Page 18 shows our free cash flow. For the quarter we generated free cash of $10.5 million compared to $18.7 million in the third quarter last year. The reduction to free cash flow reflects lower net cash from our Filmed Entertainment business. Looking ahead, we recognize that to manage the Company prudently we need to improve our cash returns. We have targeted expense savings of at least $20 million and streamlined our planned capital expenditures by about $30 million. Based on our outlook, we are comfortable that we will be able to maintain our dividend. Coupled with our long-term growth, this is how we'll deliver greater value to you, our shareholders. That concludes this portion of our call and I will now turn it back to Michael.","male","meanHispanic",89.54,"WWE","6-Nov-08","Q3"
"michael weitz","Michael","michael weitz","World Wrestling Entertainment Inc","VP IR &amp; Financial Planning"," Thank you, George. Devon, we're ready now, please open the lines for questions.Questions and Answers","male","meanwhite",94.363,"WWE","6-Nov-08","Q3"
"operator","Operator","NA NA",NA,NA," (Operator Instructions) And we will take our first call from the line of Richard Ingrassia with Roth Capital. Go ahead, please.",NA,NA,NA,"WWE","6-Nov-08","Q3"
"jerry tran","Jerry","jerry tran","Roth Capital Partners","Analyst"," Hi, this is [Jerry Tran] filling in for Rich today, I've got a couple questions for you guys if you don't mind. Could you say a little more about the warrant revaluation? It's been over a million the last two quarters.","male","meanAPI",96,"WWE","6-Nov-08","Q3"
"george barrios","George","george barrios","World Wrestling Entertainment Inc","CFO"," Yes that's just simply accounting based on the stock prices of the warrants. And we have warrants with two of our licensees.","male","meanHispanic",89.54,"WWE","6-Nov-08","Q3"
"jerry tran","Jerry","jerry tran","Roth Capital Partners","Analyst"," Okay. And there's a pretty sizeable decrease in SG&amp;A sequentially, are we now getting close to a pretty steady run rate?","male","meanAPI",96,"WWE","6-Nov-08","Q3"
"george barrios","George","george barrios","World Wrestling Entertainment Inc","CFO"," Well I think in the first quarter I had mentioned that our $33 million was reflective of a run rate. There's obviously a little bit of cyclicality and timing throughout the year, but I think if you ex out the McManns millions non-cash impact on SG&amp;A for the year, that first quarter run rate is about right and this quarter was a little bit lower.","male","meanHispanic",89.54,"WWE","6-Nov-08","Q3"
