"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," Good day, and welcome to today's WWE first quarter 2009 earning release teleconference. All participants are currently in a listen-only mode. There will be a chance to ask any questions at the end of the presentation.  It is now my pleasure to turn this call over to Mr. Michael Weitz, Vice President of Investor Relations for WWE.",NA,NA,NA,"WWE","7-May-09","Q1"
"michael weitz","Michael","michael weitz","World Wrestling EntertainmentInc.","VP of IR and Financial Planning"," Thank you, and good morning, everyone. Welcome to World Wrestling Entertainment's first quarter 2009 earnings conference call. Joining me for today's discussion are Vince McMahon, our Chairman; Linda McMahon, our CEO; Donna Goldsmith, our COO; and George Barrios, our CFO.  We issued our earnings release earlier this morning and we will be referencing a presentation as part of our discussion. These are available on our corporate website at corporate.wwe.com.  We will be making several forward-looking statements today as part of our discussion. These statements are based on management's estimates. Actual results may differ due to numerous factors, which are referenced on page one of the presentation. These risks and uncertainties are discussed in more detail in our filings with the SEC.  Reconciliations for non-GAAP financial information discussed on this call can be found in our earnings release or on our website. Today, we will review our financial results for the first quarter and we'll follow this review with a Q&amp;A session.  At this time, it is my privilege to turn the call over to Vince.","male","meanwhite",94.363,"WWE","7-May-09","Q1"
"vince mcmahon","Vince","vince mcmahon","World Wrestling EntertainmentInc.","Chairman"," Thank you, everyone, and welcome. I'm here because I'd like to compliment our current staff on the earnings call, and to perhaps lend a vision and a more direct communication to our current and potential stockholders.  Getting right into business, in terms of Q1, I thought that our performance was fair to poor. I think we can do a heck of a lot better than we have done. We saw a 10% decline in revenue over last year. However, it's been offset by somewhat of a flat in terms of last year, as far as profit is concerned. The reason we were able to maintain that, obviously, is more efficiency in terms of reducing some of our expenses, as we said we were going to, some $20 million over a period of time.  So we were, again, fair to poor on the quarter in general. Notwithstanding that, do I feel that we are set up for a success in the future. I think that when we make reference to our efficiencies, not just in cost reduction but those efficiencies, not surprisingly, have led to us utilizing our resources a heck of a lot better than we have in the past -- and not just the production of cost. We're finding out that fewer people can do a heck of a lot more than we have with more people in the past.  And that's something we should have seen some time ago. In this really tough economic environment, a lot of companies look at things like that. A lot of them just cut costs. Ours is a double benefit. So, I said before, not just cutting costs but fewer people are doing more things in setting up, no doubt, continued in even greater success than we have had in the past.  Our product, of course, is extremely important to us, as it is in any entertainment company. You first and foremost must have an extraordinary product that's both innovative and unique. I think we fit that category extremely well, although we can be a bit more innovative, as we always strive to be, in terms of making good television, good film, good product in general publication, et cetera, across the line.  We still maintain number one status on USA Network as well as Sci-Fi. Actually, every network that we're on we are number one over the entire year. My network TV continue to be number one there as well. Of course, we just signed a new deal; we're, like, three or four weeks into our new distribution at WGN America as a complementary show of all three brands combined. That is doing very well for all of us.  Again, it's important that we create our own product. We're somewhat unique in that respect, because we create our own product, distribute our own product and own our own product -- extremely important -- and market that product. Again, I think we can do better on all counts.  Nonetheless, this does allow us, as far as international is concerned as well as domestic, it does allow to derive at the ancillary benefits to our product unlike any other. As far as expansion is concerned, I know that's on the mind of a lot of people. There a lot of ways in which we are expanding. Not just in scope in terms of international -- which is very important to us -- but again, the more valuable you become, even to your more domestic distributors, the more to benefit you can derive in terms of [house] the ancillaries as well as perhaps higher fees from the networks.  Again, it's important for us to maintain and continue to be unique, which we are, and innovative. I guess there's also something going on that is very important for us, and that's an educational process, be more a part of mainstream America, and even somewhat of an island in terms of the entertainment aspect that we bring, because we are unique.  But nonetheless, I think there's an educational process is going to benefit us greatly in terms of working with business-to-business opportunities, as well as the media in general -- for them to explain what it is that we are, as well as that explanation to our current and, hopefully, future stockholders as well.  We're opening new doors. We have a PG environment, which we're enjoying. It is our intention to remain in this PG environment. It gives a safehaven for those who would entertain being associated with us, as far as sponsorship and advertisement. Again, we derive rights fees generally from our distributors. So, we're not in the business of selling our own time. Nonetheless, advertising is very important because, again, the more value we bring to our product, the higher rights fees, et cetera.  So, we're opening up some of these new doors, including Army National Guard. We have done a small deal with Pepsi, which we are confident will be a larger deal going forward. Again, success begets success.  I think that during these tough economic times, there are a number of products that, much like us, have to look to a more efficient way of reaching an audience. So therefore, again, individuals I think are companies that, in the past, have overlooked us, are now taking a look at us and finding out just how efficient we are with helping sell their respective products.  I've think that our reach-out to media, explaining who we are, as well as to other businesses is going to pay off. Reaching out to other environments that we otherwise have not reached to because they're not our core product, is very important to expanding the product.  Those of you who watch attentively and those of you -- I'm sure everyone on the call watches a television program called The View, hosted, of course, by Barbara Walters. But nonetheless, that's an idea of the way we're expanding our product, is to reach out, again, as I said before, in avenues that we never have, to grow, to be a part of mainstream, the mainstream -- more of a mainstream than we currently already are.  And, again, the View is an example of -- that's not going to put any money in our pocket at the moment, but it does open us up to some of the gatekeepers, some of the women of America to say, you know what? That's an okay product. And otherwise, again, they would not be exposed.  So, that's important for us as well. As we continue on in this endeavor, one of these days we're going to be considered an overnight sensation. It may take a little while, but that's what's going to happen.  Our product remains extremely popular, especially from a live event standpoint, and we had over 70,000 people at WrestleMania; approximately 1 million pay-per-view buys. Again, I think that is the true test of where we are in terms of valuation of the public is live events.  And you would say, okay, the key areas are pay-per-view, growth, et cetera, et cetera, and you could look to those barometers. But the true barometer of how we're doing is live events, because that's the most expensive way in which a consumer can reach out and touch our product.  Well, what many of you know when you go to events, when you buy the ticket, that's the only -- that's only the beginning. You have to pay for parking, and food and beverage, and merchandise, and on and on. So, I mean, actually our live event business remains very, very strong. Again, I believe that's the barometer as to whether or not we're going to grow all these other ancillaries.  As far as these ancillaries are concerned, there's no form of entertainment in the world, quite frankly, that fits every form of distribution and entertainment in the world -- from pay-per-view to videogames, to you name it, we're in it; the music business; we're in the publication business, et cetera.  So I don't believe there's any entertainment in the world that's in as many businesses as we are, in terms of all of the ancillaries. We need to grow those ancillaries, again, through better marketing, better management, and better distribution. I'm confident we can do that going forward.  I'm very proud of our organization. We have the best talent as far as not just in-ring talent but as far as management is concerned here -- the best management team we've ever had in the Company. And that is growing and continuing to be more efficient and be smarter.  So, those are, again, some of the aspects I see of the business. I'm sure many of you are going to have questions, which I look forward to answering. Again, it is my intention to continue to be on these calls for the foreseeable future, to lend whatever I can to everyone that wants to know more about our business, in an educational effort as to where we are and where we want to go.  So those are the generalities. And with that, we'll go over to George.","male","meanwhite",84.782,"WWE","7-May-09","Q1"
"george barrios","George","george barrios","World Wrestling EntertainmentInc.","CFO"," Thanks, Vince. I'd like to start by providing you with some additional perspective on our first quarter results.  For the quarter, we reported a 34% decline in revenue. However, several factors, including the timing of WrestleMania, the timing of our film projects, and changes in foreign exchange rates, made it more difficult to discern the underlying strength of our business.  Adjusting for these factors, revenue declined approximately 10%, roughly in line with other entertainment companies and perhaps better than expected given our macroeconomic environment. Current operating conditions clearly had a continuing impact on both our live events and pay-per-view performance.  Perhaps most importantly, our first quarter results demonstrate how we have fulfilled our commitment to run our business in a smarter, more efficient way. Specifically, we manage a 6% decline in SG&amp;A expenses from the first quarter last year and improve the operating margins for our businesses, to 18% compared to 15% in the prior year, excluding WrestleMania.  As a reminder, WrestleMania occurred in the second quarter of this year compared to the first quarter last year. The event contributed $31.3 million of revenues and $7.1 million of profit contribution to our results for the first quarter of 2008.  To clarify the trends in our business, I'll discuss our performance on an adjusted basis, excluding the impact of WrestleMania. Additionally, our first quarter results, particularly our live events, pay-per-view, and consumer products, were impacted by changes in foreign currency exchange rates. We estimate that these changes reduce first quarter revenue and operating income by $3 million and $1 million, respectively.  For a more detailed review of our performance in the quarter, let's turn to page 5 of our presentation, which was the revenue and profit contribution by business unit as compared to the prior-year quarter.  Starting with our live events, including merchandise sales at these events, revenue was essentially flat to the prior-year quarter on an adjusted basis. Changes in our touring schedule, including the addition of 18 domestic events, offset declines in average attendance and ticket prices. Reflecting weak economic conditions, average paid attendance to our North American events decreased 3% on a year-over-year basis, and average ticket prices to these events declined approximately 12% to $33.54.  Notably, the expansion of domestic events also offset a decline in revenue from outside North America. The quarter had four fewer international events and was impacted by changes in foreign exchange rates.  Turning to our pay-per-view business, revenue declined 22%, excluding the impact of WrestleMania. Buys for the two pay-per-view events produced in the quarter, Royal Rumble and No Way Out, decreased 16%. Although international buys comprised a larger share of total current period purchases, 36% compared to 30% in the prior-year quarter, revenue per buy declined, in part due to the impact of foreign exchange.  We remain focused on managing improved results from our pay-per-view business. While subsequent to the quarter, we are pleased with the performance of our 25th Anniversary production of WrestleMania, which we believe is on track to garner approximately 1 million pay-per-view buys.  Revenues from the distribution of our television programming increased by 4% or $0.9 million, primarily due to higher domestic and international rights fees. These higher fees reflect contractual increases in our licensing agreements. Notably, both our rights fees and the profitability of our television operations will benefit from the distribution of our new program, WWE Superstars, which debuted on WGN America on April 16.  In our consumer product segment, our licensing revenue decreased by 24% or $6.4 million over the prior-year quarter. The decrease primarily reflected lower sales of video games, as the economy adversely affected consumer demand, increased pressure on retail prices, and brought unfavorable changes in foreign exchange.  During the quarter, sales of our SmackDown versus Raw video game declined 21% to 4.1 million units. Our home video revenue declined 34% or $4.8 million, reflecting a 23% decline in DVD units shipped during the quarter, and an increase in promotional expenses, which were accounted for as a contra revenue.  DVD shipments fell 23% to approximately 912,000 units, primarily due to the release of fewer titles. Six new titles were released in the current period, as compared to eight in the prior-year quarter. In addition, sales of title from our catalog fell by 13%.  In our magazine publishing business, revenue increased 21% to $3.5 million. The growth primarily reflected the addition of our WWE Kids magazine, which was launched in April last year.  In our digital media segment, revenue declined 15% to $6.9 million from the prior-year, reflecting lower sales of online merchandise and Internet advertising. Revenue from e-commerce declined 17%, reflecting a decrease in both the number of orders and in the average revenue per order. The number of online merchandise purchased declined 12% to 60,000 orders. In addition, the average sales per order fell 3% to about $50.  The current quarter was also characterized by lower sales of online advertising. While we manage a 12% year-over-year increase in Internet traffic as measured by page views, we did not take full advantage of this increase, in part due to the ongoing transition of our Internet ad sales organization. It is important to note, however, that we have seen increased activity in our ad sales pipeline, including an increase in commitments for the remainder of the year, as compared to the level of ad sales booked at the same time last year.  The success of our efforts to integrate the sales of our various assets, including digital media, is evident in our renewed partnership with the Army National Guard. During the quarter, WWE Studios recognized revenue of $3.7 million and profit of $2.2 million associated with our portfolio of films.  Our fourth theatrical film, 12 Rounds, was released on March 27 of this year and generated approximately $11.8 million in domestic box office revenue. The current quarter also saw the release of a direct-to-DVD film project, Behind Enemy Lines: Colombia, on January 6 of 2009. We expect 12 Rounds, as well as our overall portfolio of films, will surpass breakeven profits.  Our overall profit contribution margin increased to 48% from 42% in the prior year on an adjusted basis. The increase reflected improved margins in our Live and Televised Entertainment and WWE Studios segment. In particular, the quarter was highlighted by reduced operating expenses in our television production live event operations and pay-per-view marketing.  For the quarter, reported SG&amp;A expenses decreased 6% to $30.9 million, due mainly to declines in advertising and travel expenses. These cost savings were partially offset by an approximate $2.2 million restructuring charge associated with our headcount reduction that occurred in January 2009.  Excluding the impact of the restructuring charge, SG&amp;A expenses of $28.7 million represented a $4.3 million decline from the first quarter last year. As a reminder, we expect that our commitment to reduce our 2009 expense base by $20 million will be realized in both lower SG&amp;A expenses and lower direct expenses that are captured in our profit contribution.  Page 14 of our presentation compares the quarter-over-quarter results and provides a summary of changes by business. As shown, operating income was essentially flat to the results of the first quarter 2008, after adjusting for both the restructuring charge and the impact of WrestleMania.  Net income was $10.3 million compared to $14.9 million in the prior-year quarter on an adjusted basis. In addition to the aforementioned decline in revenue, the year-over-year decline in net income reflected a decrease in investment income and an increase in other non-operating expenses. The former was attributable to lower average investment balances and interest rates.  The increase in other expenses reflected realized translation losses and the re-valuation of warrants held with licensees. Also impacting net income, the effective tax rate of 35% in the current-year quarter exceeded the 30% rate in the prior-year quarter, which was reduced by the recognition of certain state tax benefits.  Page 15 of the presentation contains our balance sheet, which remains strong. On March 31, we held more than $225 million in cash and investments with virtually no debt.  Page 18 shows our free cash flow. For the quarter, we generated approximately $46 million of free cash flow compared to about $5 million in the prior-year quarter. This increase was driven by the timing of WrestleMania, our feature film investments, and changes in working capital, including changes in the Company's tax position. In addition, capital expenditures decreased to $1.5 million compared to $9.7 million in the prior-year period.  Looking ahead, we are focused on managing the Company to improve our cash returns. We have already made changes to realize our targeted annual expense savings of at least $20 million in 2009 and to reduce our capital expenditures. As indicated last quarter, through increased efficiencies and careful management of our growth, our goal is to deliver greater value to your shareholders.  That concludes this portion of our call, and I will now turn it back to Michael.","male","meanHispanic",89.54,"WWE","7-May-09","Q1"
"michael weitz","Michael","michael weitz","World Wrestling EntertainmentInc.","VP of IR and Financial Planning"," Thank you George. Nick, we're ready now. Please open the lines for questions. Questions and Answers","male","meanwhite",94.363,"WWE","7-May-09","Q1"
"operator","Operator","NA NA",NA,NA," (Operator Instructions) Richard Ingrassia, Roth Capital Partners.",NA,NA,NA,"WWE","7-May-09","Q1"
"jared schram","Jared","jared schram","Roth Capital Partners","Analyst"," This is Jared Schram filling in for Rich today. We're a little ways off on the handoff from Jakks Pacific to Mattel on the Toy section. Can you talk about what sort of expansion you can do with Mattel and how you plan to grow that segment of the business?","male","meanwhite",95.945,"WWE","7-May-09","Q1"
"vince mcmahon","Vince","vince mcmahon","World Wrestling EntertainmentInc.","Chairman"," Yes, I'll mention it and then we'll go to Donna, who's really on the case.  This is like night and day comparing Jakks to Mattel --obviously, Mattel being the day. These people are really, really smart people and as Donna is going to tell you, they just -- their approach to our product and the exploitation of it is nothing short of extraordinary.  The other thing about Mattel, which is important for us is, we're global; they are too. It's not just what they're going to bring from a financial standpoint to the bottom line; it's also the fact that they're a good partner. They're going to be a very, very good partner.  And they have offices and they have people on the ground that can help us in markets where we don't at the moment, in terms of the overall business climate, political climate, you name it. So, we really know that they're going to be a partner, not just someone who benefits or we benefit from the bottom line. Donna?","male","meanwhite",84.782,"WWE","7-May-09","Q1"
"donna goldsmith","Donna","donna goldsmith","World Wrestling EntertainmentInc.","COO"," Jared, the other thing I would add to that is that we had seen some of the early product development that Mattel is working on and it's fabulous. They're going to expand the product line by hitting three segments.  The collector business, which Jakks has done a good job at, but Mattel is going to take it to another level. They're going to hit the kids business, which is an area where Jakks has not focused on. They're going to go for the 2 to 11; they're going to advertise on kid programming, which Jakks had not done before.  They're going to create products that are so different than what you've seen -- they're going to have more articulation; they're going to have sound and movement. They're going to do products besides the action figures. They're going to do more additional products from role-playing to [mats] with championship belts. We are so excited for the array of products that they're going to do. And of course, they will continue with the basic action figures as well.  I just came from L.A. yesterday where we presented to a number of retailers. And the retailers are very, very charged up. They're very excited by the breadth of products that Mattel is going to have out there -- and the support that Mattel gives, from the retailer to, as I said, to kids advertising, to the promotion. They are connected to everybody; everybody in the quick-serve restaurants, so we can talk premiums and promotions.  And as Vince said, to wrap up the circle, their international business is huge and they have distribution in every market out there. And it's their own distribution. It's their own people on the ground versus Jakks, who use third parties in many cases.  So the whole thing is very, very exciting for us. We're chomping at the bit here for the first of 2010 to come, because I think you're going to see amazing products out there.","female","meanwhite",87.0415,"WWE","7-May-09","Q1"
"jared schram","Jared","jared schram","Roth Capital Partners","Analyst"," That sounds great. Thank you. If I could ask one more here. So pay-per-view followed the TV in Mexico. As far as pay-per-view goes, is there a rollout schedule at all? Or can you give me some sort of insight on that, as far as Asia goes and Eastern Europe for pay-per-view?","male","meanwhite",95.945,"WWE","7-May-09","Q1"
