"name","firstName","firstLast","organization","title","text","gender","likelyRace","likelyRaceProb","ticker","date","quarter"
"operator","Operator","NA NA",NA,NA," Good day. All sites are now online in the listen-only mode. At this time, it is my pleasure to hand over your conference to your moderator, Mr. Wayne Rappaport (ph). Go ahead, please sir.",NA,NA,NA,"WWE","7-Sep-05","Q1"
"wayne rappaport","Wayne","wayne rappaport","World Wrestling Entertainment","Director of Planning and Analysis"," Thank you. Welcome to World Wrestling Entertainment's first quarter conference call. My name is Wayne Rappaport, Director of Planning and Analysis at WWE. Here with me today is Linda McMahon, our CEO and Michael Sileck, our CFO. We issued our earnings release earlier this morning and we will be referencing this presentation as part of our discussion. Both are available on our corporate website at corporate.wwe.com. We will be making several forward-looking statements today as part of our discussions. These statements are based on management's estimates. Actual results will differ due to numerous factors as called out on page 1 of the presentation and in our earnings release. Today we will review our operating highlights and first-quarter results followed by a Q&amp;A session. At this time, I'd like to turn it over to Linda McMahon.","male","meanwhite",90.478,"WWE","7-Sep-05","Q1"
"linda mcmahon","Linda","linda mcmahon","World Wrestling Entertainment","CEO"," Thank you, good morning everyone. I'm pleased to say that we are off to a terrific start in fiscal '06. Our international strategy of entering the market with a strong TV deal coupled with live event touring has yielded significant returns in revenues from our branded merchandise. This is especially true in Italy where we have seen a significant increase in the licensing revenues. We're in the process of duplicating this successful model in other international markets. Our pay-per-view business had a great first quarter. Excluding the additional event produced in the quarter, buys were up 11% over prior year quarter with all of this performing at or above their '05 levels. Our 24/7 service has expanded into Canada on Rogers Cable, the largest cable operator in Canada. Rogers Cable puts considerable resources behind the launch of our service, including a media event attended by WWE legends, extensive radio promotions and a WWE Day at the Toronto Blue Jays baseball game. Also in the quarter, we released the WrestleMania 21 DVD, which is currently projected to become the most successful DVD in WWE's history, having already surpassed 200,000 units sold. Now let's look at our live event business, which you will find on page 5. We had a very successful tour in the UK in June, selling out three arenas in Scotland and England and drawing over 20,000 fans to stadium event in Dublin. The tour's success demonstrates the validity of our strategy of leading fans from one tour in this case, the 14-event European tour in April, to the next tour, while also creating the seal of a continuous WWE presence in the marketplace. We also toured Japan and Korea in July, drawing over 25,000 fans to three events. We're currently gearing up for a three-event Australian tour in October and a 16-event Europeans tour in November, our largest international tour to date. That tour will culminate with two TV events produced in the UK. Our domestic events also performed well in the first quarter. The positive trend in attendance that began in the fourth quarter of fiscal '05 has continued into the first quarter with average attendance up 21% from the prior year quarter. We're in the process of putting into effect a new, more efficient routing and scheduling strategy for our North America events tours. We will be touring domestically utilizing a predetermined zone strategy that will provide longer leadtimes similar to what we have done in international territory. This new strategy will enable us to develop promotional campaigns with local media and retailers with the goal of driving ticket and retail sales. On page 6, we have displayed the key drivers for our pay-per-view business. We had five events in the quarter which achieved 1.4 million buys compared to for events in the first quarter of last year with 1.1 million buys. Backlash was our first event in fiscal '06. Typically, this event falls into the fourth quarter. However simply due to timing, it occurred on the first day of our new fiscal year. We are pleased with our first quarter results and are very encouraged by the preliminary buy numbers we have received on Summer Slam. Page 7 provides household rating information. First quarter RAW ratings are up slightly from the previously year with Smackdown! ratings remaining flat. As most of you know, in the coming weeks there will be some significant changes to our current domestic TV carriage. On September 9 which is this Friday, Smackdown! will move to Friday nights while remaining on UPN. On Monday night October 3, RAW will be premiering on USA Network. These changes provide significant opportunity for us and we look forward to reporting on there impact in the next quarter. I am extremely proud to announce that our RAW show has now produced the most original episodes of any weekly fictional entertainment program, surpassing even the legendary Gunsmoke. The achievement of this prestigious milestone and the fact that we continue to be one of the most watched regularly scheduled programs on ad-supported TV reflects the dedication of our talent and staff and the passion and enthusiasm of our WWE fans and we look forward to entertaining for years to come. The highlights of the branded merchandise business are on page 8. Branded merchandise businesses had an excellent quarter driven by licensing, home video and merchandise. Our licensing is up over 125% for the quarter, reflecting the growth in our international territory. In Italy, we had tremendous success at selling trading cards, temporary tattoos and back to school items. This success is another example of the enthusiastic demand our international fans have for WWE branded merchandise and demonstrates a real growth opportunity for us in the future. We also are extremely pleased with the success of WrestleMania 21 video game and DVD. This truly shows the ability of each individual WrestleMania to stand on its own and become a significant merchandise revenue generator. The strong sales of the Greatest Wrestling Stars of the 1980's DVD and the Road Warriors DVD demonstrate the great interest our fans have in our past superstars which should translate into revenues through our Legends program. This is another successful example of our continued ability to monetize our extensive video library. One final note before I turn it over to Mike, we are aware and sensitive to some shareholders' questions about the appropriate capital structure of the Company and the potential use of our cash balance. The Company is in the midst of a comprehensive strategic planning process focused on establishing the future direction of the Company. Upon conclusion of this process, we will communicate to the investment community our targeted corporate strategy and capital structure. In conclusion, as I stated previously, I'm very pleased with our first quarter results. They confirm that the strategic initiatives we have put in place are having a positive impact on or financial performance. At this point, I will turn it over to Mike Sileck, our CFO.","female","meanwhite",92.947,"WWE","7-Sep-05","Q1"
"michael sileck","Michael","michael sileck","World Wrestling Entertainment","CFO"," Thank you, Linda. As Linda mentioned, our first quarter results were solid with most of our key drivers showing improvement over the prior year quarter. Our revenues for the quarter were $94 million as compared to 82 million in the prior year, an increase of approximately 15%. This increase is primarily the result of one additional pay-per-view event, increased buys for the comparable four pay-per-view events and increased revenues in both our home video and licensing business units. Page 9 of our presentation lists revenues by business unit as compared to the prior year. The 1.4 million or an 8% decrease in revenues from live events reflect 19 fewer events scheduled in this quarter as compared to last year, of which three were international events. This was significantly offset by a 21% increase in average attendance. Of the 70 events in the quarter, seven were international events. The profit contribution for live events was virtually flat to last year at 3.7 million. Turning to our pay-per-view business, revenues for the quarter were 21.6 million, up 4.7 million or 28% from last year. This increase is primarily due to the fact that we produced five pay-per-view events in the quarter versus four events last year. This additional event generated 4.3 million of increased revenues. The four comparable events in the quarter equaled or exceeded the buys recorded in the prior year quarter. This was somewhat offset by a reduction in prior year buys. The resulting profit contribution for pay-per-view grew 2.8 million, or 27% over last year. In our branded merchandise segment, home video revenues grew 50% to $8.5 million in the quarter. This reflects an increase of approximately 227,000 units sold over last year. The increase is primarily due to strong sales of first quarter new releases, including WrestleMania 21, which sold 202,000 units; the Greatest Wrestling Stars of the 1980's, 95,000 units and the Road Warriors, which sold 84,000 units. Let me point out that WrestleMania 20 was released at the end of fiscal 2004 and sold only 60,000 units in last year's first quarter. Revenues from the sale of our merchandise increased by $1.5 million, or 40%, up to 5.2 million. The bulk of this increase relates to WWE's shop.com, our merchandise web site, where orders processed increased from 15,000 last year to over 40,000 in the current quarter, an increase of nearly 175%. Additionally the per capita sales at our live events increased $1.43, up to $10.59. Lastly, licensing revenues for the quarter were 7.5 million as compared to 3 million in the prior year, an increase of $4.5 million. This 150% increase reflects higher revenues from the toy, video game and novelty categories. It should be noted that 3.2 million of the increase was derived from international sources. Profit contribution for branded merchandise grew 5.7 million or 80% over last year's first quarter. Our profit contribution margin for the quarter was 44% compared to 41% in the prior year. This 300 basis point improvement underscores the strength of the pay-per-view and branded merchandise businesses and the margin leverage inherent within the Company. SG&amp;A expenses were 22.2 million in the current quarter, up 3.8 million or 21% from last year. The increase is due to a nonrecurring 2.1 million sales tax refund which reduced last year's expense and a current quarter charge of 1.4 million for severance pay related to certain restructuring plans that were implemented in this quarter. EBITDA for the quarter was 18.5 million versus 14.1 million in the prior year, an increase of 31%. Page 11 of our presentation provides the details of this increase, all of which I have just discussed. As is our practice, page 12 shows a normalized EBITDA adjusting for those items we consider to be unusual. And as you can see, there are no such items this quarter. Page 14 of the presentation contains our balance sheet, which has not changed significantly since April 30, 2005. At July 29, we held $271 million in cash and short-term investments and virtually no debt. We have recorded $31 million in feature film production assets for the two films currently in production and we currently anticipate that these assets will total 32 million when the films are completed. These assets will be amortized on a pro rata basis with revenues in accordance with generally accepted accounting principles. Cash generation was strong in the quarter as free cash flow was 21 million as compared to 10 million in last year's Q1. During the quarter, we spent an additional approximately $2 million on the production of our two feature films. We do not anticipate seeing any revenues from these projects until fiscal 2007. The Company's outlook for fiscal 2006 is shown on page 15. Given our first-quarter results, we have increased the range of anticipated total revenues to 360 to 375 million. EBITDA is currently anticipated to be 55 to 60 million, income from continuing operations between 32 and 35 million and fully diluted earnings per share from continuing operations are between $0.46 and $0.50. Sell overall, it is a very good start to our new year and we look forward to the rest of the year. That concludes this portion of the call and I will now turn it back to Wayne.","male","meanwhite",94.363,"WWE","7-Sep-05","Q1"
"wayne rappaport","Wayne","wayne rappaport","World Wrestling Entertainment","Director of Planning and Analysis"," Thank you, Mike. At this point, I'd like to open the call to questions.Questions and Answers","male","meanwhite",90.478,"WWE","7-Sep-05","Q1"
"operator","Operator","NA NA",NA,NA," (Operator Instructions). Robert Routh.",NA,NA,NA,"WWE","7-Sep-05","Q1"
"robert routh","Robert","robert routh","Jefferies &amp; CompanyInc.","Analyst"," Hi, guys. Great quarter. Just a couple of questions. First I was wondering if you could comment at all on the status of the Rico (ph) lawsuit with Jack Pacific (ph) and THQ. I know it has been awhile since anything has been said about that and I know you're limited in what you can say, but I'm just curious if can give us any kind of update at all as far as where we stand in that process at all?","male","meanwhite",92.7305,"WWE","7-Sep-05","Q1"
"linda mcmahon","Linda","linda mcmahon","World Wrestling Entertainment","CEO"," Hi, Robert, good morning. It is really slowly progressing through the courts. And that is really the only update at this point. There was a conference a couple weeks ago in the judge's chambers and he had asked for some information and it's just really the ball is in his court to (indiscernible) discovery (indiscernible) schedules and that sort of thing.","female","meanwhite",92.947,"WWE","7-Sep-05","Q1"
"robert routh","Robert","robert routh","Jefferies &amp; CompanyInc.","Analyst"," Okay, great. And second, given that you obviously the business it seems to have reached an inflection point and it's turning around for the better, it seems as though you are starting to stockpile cash again which is a good thing, but the question is what are you going to do with it. I'm wondering if management has any intention of increasing the dividend anytime soon, or if that is just part of this comprehensive strategic review that you're doing and you'll get back to us on that?","male","meanwhite",92.7305,"WWE","7-Sep-05","Q1"
"linda mcmahon","Linda","linda mcmahon","World Wrestling Entertainment","CEO"," It's the latter. I would rather hold off on the comments on that until after this strategic review, and I expect at the end of our next quarter that we will give you that update that you are looking for.","female","meanwhite",92.947,"WWE","7-Sep-05","Q1"
